"cell_type","group1","group2","n1","n2","median1","median2","p_value","p_adj"
"B_mem","C19_ctrl","C19_mild",7,8,0.0534791856578548,0.0398813230680374,0.224313126511154,1
"B_naive","C19_ctrl","C19_mild",7,8,0.0493770890306898,0.0305264205641198,0.271588674243375,1
"DC","C19_ctrl","C19_mild",7,8,0.00949367088607595,0,0.0215562667600163,1
"Mono_CD14","C19_ctrl","C19_mild",7,8,0.273595139943589,0.446876280030632,0.118212288779656,1
"Mono_CD16","C19_ctrl","C19_mild",7,8,0.0411392405063291,0.0216294160057678,0.072848858320992,1
"NK_CD16","C19_ctrl","C19_mild",7,8,0.161392405063291,0.108239449085252,0.271588674243375,1
"Plasma","C19_ctrl","C19_mild",7,8,0,0,0.679325521652352,1
"T_mait","C19_ctrl","C19_mild",7,8,0.00316455696202532,0.00478830300518807,0.685443482677522,1
"T_mem_CD4","C19_ctrl","C19_mild",7,8,0.0379746835443038,0.075315207094235,0.271588674243375,1
"T_mem_CD8","C19_ctrl","C19_mild",7,8,0.1337890625,0.181920725279359,0.602524352361297,1
"T_mix","C19_ctrl","C19_mild",7,8,0.00328569081649417,0.00217191656545414,0.117883757166443,1
"T_naive","C19_ctrl","C19_mild",7,8,0.165762638316338,0.0501687982860482,0.0428436018280164,1
"B_mem","C19_ctrl","C19_mod",7,4,0.0534791856578548,0.0139307897071872,0.219302649679319,1
"B_naive","C19_ctrl","C19_mod",7,4,0.0493770890306898,0.0260179434092478,0.39509158490415,1
"DC","C19_ctrl","C19_mod",7,4,0.00949367088607595,0.00125909511559393,0.156375721759645,1
"Mono_CD14","C19_ctrl","C19_mod",7,4,0.273595139943589,0.297257668763743,0.636601632563601,1
"Mono_CD16","C19_ctrl","C19_mod",7,4,0.0411392405063291,0.0193903194858341,0.29861767444881,1
"NK_CD16","C19_ctrl","C19_mod",7,4,0.161392405063291,0.157371627896442,0.636601632563601,1
"Plasma","C19_ctrl","C19_mod",7,4,0,0.00131046076258883,0.149134519718146,1
"T_mait","C19_ctrl","C19_mod",7,4,0.00316455696202532,0.00198373279675335,0.776814004155482,1
"T_mem_CD4","C19_ctrl","C19_mod",7,4,0.0379746835443038,0.0351691893601849,0.636601632563601,1
"T_mem_CD8","C19_ctrl","C19_mod",7,4,0.1337890625,0.11336586894598,0.92471903748677,1
"T_mix","C19_ctrl","C19_mod",7,4,0.00328569081649417,0.00494893150964061,0.776814004155482,1
"T_naive","C19_ctrl","C19_mod",7,4,0.165762638316338,0.141748263453009,0.776814004155482,1
"B_mem","C19_ctrl","C19_sev",7,6,0.0534791856578548,0.040389908556073,0.353111234506006,1
"B_naive","C19_ctrl","C19_sev",7,6,0.0493770890306898,0.0185434362122614,0.0537840888623983,1
"DC","C19_ctrl","C19_sev",7,6,0.00949367088607595,0.00597746119533465,0.617075077451974,1
"Mono_CD14","C19_ctrl","C19_sev",7,6,0.273595139943589,0.410166437645475,0.133614402537716,1
"Mono_CD16","C19_ctrl","C19_sev",7,6,0.0411392405063291,0.0241828580790742,0.133614402537716,1
"NK_CD16","C19_ctrl","C19_sev",7,6,0.161392405063291,0.0575801340475055,0.0383187631494136,1
"Plasma","C19_ctrl","C19_sev",7,6,0,0.0201169708581224,0.0162068987047907,1
"T_mait","C19_ctrl","C19_sev",7,6,0.00316455696202532,0.00285132833716785,0.431401416947178,1
"T_mem_CD4","C19_ctrl","C19_sev",7,6,0.0379746835443038,0.0497000100836947,0.617075077451974,1
"T_mem_CD8","C19_ctrl","C19_sev",7,6,0.1337890625,0.22957236481942,0.283976771750912,1
"T_mix","C19_ctrl","C19_sev",7,6,0.00328569081649417,0.00580041378306539,0.830324257655795,1
"T_naive","C19_ctrl","C19_sev",7,6,0.165762638316338,0.0807134030938639,0.353111234506006,1
"B_mem","HIV_ctrl","HIV_acu",4,4,0.043497410510148,0.0600732161874334,0.193930852282411,1
"B_naive","HIV_ctrl","HIV_acu",4,4,0.0297196621816897,0.0248679429860508,0.193930852282411,1
"DC","HIV_ctrl","HIV_acu",4,4,0.00512124134773733,0.00574543924902586,1,1
"Mono_CD14","HIV_ctrl","HIV_acu",4,4,0.184435310362545,0.115985663082437,0.47048642205879,1
"Mono_CD16","HIV_ctrl","HIV_acu",4,4,0.0461219799994931,0.0407469001977788,1,1
"NK_CD16","HIV_ctrl","HIV_acu",4,4,0.108115225308862,0.137787539936102,0.312321421676216,1
"Plasma","HIV_ctrl","HIV_acu",4,4,0,0.00128136200716846,0.538472380986992,1
"T_mait","HIV_ctrl","HIV_acu",4,4,0.0376496703087434,0.0236218241290126,0.47048642205879,1
"T_mem_CD4","HIV_ctrl","HIV_acu",4,4,0.158696208993886,0.0934964885676006,0.47048642205879,1
"T_mem_CD8","HIV_ctrl","HIV_acu",4,4,0.277028517572491,0.272356037815174,0.885233914473202,1
"T_mix","HIV_ctrl","HIV_acu",4,4,0.0395745135150809,0.0386292326542765,0.885233914473202,1
"T_naive","HIV_ctrl","HIV_acu",4,4,0.0308829835281382,0.0183421834844075,0.665005542102029,1
"B_mem","HIV_ctrl","HIV_chr",4,4,0.043497410510148,0.0428286119240893,0.665005542102029,1
"B_naive","HIV_ctrl","HIV_chr",4,4,0.0297196621816897,0.019389065941571,0.312321421676216,1
"DC","HIV_ctrl","HIV_chr",4,4,0.00512124134773733,0.00252036173388492,0.561363210234124,1
"Mono_CD14","HIV_ctrl","HIV_chr",4,4,0.184435310362545,0.0939537292493058,0.193930852282411,1
"Mono_CD16","HIV_ctrl","HIV_chr",4,4,0.0461219799994931,0.0416116033281282,0.665005542102029,1
"NK_CD16","HIV_ctrl","HIV_chr",4,4,0.108115225308862,0.111194176311699,1,1
"Plasma","HIV_ctrl","HIV_chr",4,4,0,0.00208722839735044,0.300522311495472,1
"T_mait","HIV_ctrl","HIV_chr",4,4,0.0376496703087434,0.00384660301888996,0.0606019697120061,1
"T_mem_CD4","HIV_ctrl","HIV_chr",4,4,0.158696208993886,0.0668089534817661,0.112351197690464,1
"T_mem_CD8","HIV_ctrl","HIV_chr",4,4,0.277028517572491,0.477730210422643,0.0303828219765775,1
"T_mix","HIV_ctrl","HIV_chr",4,4,0.0395745135150809,0.0426346804666977,0.885233914473202,1
"T_naive","HIV_ctrl","HIV_chr",4,4,0.0308829835281382,0.00784027515156082,0.112351197690464,1
"B_mem","Influenza_ctrl","Influenza_d3",5,5,0.0631799961824776,0.0670694864048338,1,1
"B_naive","Influenza_ctrl","Influenza_d3",5,5,0.0224475018102824,0.0250529967238389,0.403395304892628,1
"DC","Influenza_ctrl","Influenza_d3",5,5,0.00877385391533231,0.0054380664652568,0.0121857803553448,1
"Mono_CD14","Influenza_ctrl","Influenza_d3",5,5,0.162649073839127,0.187915407854985,0.403395304892628,1
"Mono_CD16","Influenza_ctrl","Influenza_d3",5,5,0.0192844455721898,0.017724413950829,0.834531622710929,1
"NK_CD16","Influenza_ctrl","Influenza_d3",5,5,0.175336209083989,0.133933676386507,0.210075040786658,1
"Plasma","Influenza_ctrl","Influenza_d3",5,5,0.000365296803652968,0.000330414670411366,1,1
"T_mait","Influenza_ctrl","Influenza_d3",5,5,0.0107762557077626,0.00604229607250755,0.530869303968508,1
"T_mem_CD4","Influenza_ctrl","Influenza_d3",5,5,0.152787834902245,0.205352717660664,0.676103314023147,1
"T_mem_CD8","Influenza_ctrl","Influenza_d3",5,5,0.127440228120202,0.15018315018315,0.834531622710929,1
"T_mix","Influenza_ctrl","Influenza_d3",5,5,0.00648978812750525,0.00363456137452503,0.403395304892628,1
"T_naive","Influenza_ctrl","Influenza_d3",5,5,0.0803765387400434,0.152870090634441,1,1
"B_mem","Influenza_ctrl","Influenza_d6",5,5,0.0631799961824776,0.0133670520231214,0.296269871484286,1
"B_naive","Influenza_ctrl","Influenza_d6",5,5,0.0224475018102824,0.0164563905650027,0.530869303968508,1
"DC","Influenza_ctrl","Influenza_d6",5,5,0.00877385391533231,0.00702702702702703,0.14367208180696,1
"Mono_CD14","Influenza_ctrl","Influenza_d6",5,5,0.162649073839127,0.323338150289017,0.0601028059388663,1
"Mono_CD16","Influenza_ctrl","Influenza_d6",5,5,0.0192844455721898,0.0603323699421965,0.14367208180696,1
"NK_CD16","Influenza_ctrl","Influenza_d6",5,5,0.175336209083989,0.153513513513513,0.834531622710929,1
"Plasma","Influenza_ctrl","Influenza_d6",5,5,0.000365296803652968,0,0.655836496590659,1
"T_mait","Influenza_ctrl","Influenza_d6",5,5,0.0107762557077626,0.00758670520231214,0.403395304892628,1
"T_mem_CD4","Influenza_ctrl","Influenza_d6",5,5,0.152787834902245,0.141624978437123,0.403395304892628,1
"T_mem_CD8","Influenza_ctrl","Influenza_d6",5,5,0.127440228120202,0.104046242774566,0.530869303968508,1
"T_mix","Influenza_ctrl","Influenza_d6",5,5,0.00648978812750525,0.00614161849710983,0.676103314023147,1
"T_naive","Influenza_ctrl","Influenza_d6",5,5,0.0803765387400434,0.123554913294798,1,1
"B_mem","Influenza_ctrl","Influenza_d30",5,5,0.0631799961824776,0.0400636389933468,0.530869303968508,1
"B_naive","Influenza_ctrl","Influenza_d30",5,5,0.0224475018102824,0.0253723807119414,1,1
"DC","Influenza_ctrl","Influenza_d30",5,5,0.00877385391533231,0.0110844817255842,1,1
"Mono_CD14","Influenza_ctrl","Influenza_d30",5,5,0.162649073839127,0.203789412785652,0.296269871484286,1
"Mono_CD16","Influenza_ctrl","Influenza_d30",5,5,0.0192844455721898,0.0340475004152134,1,1
"NK_CD16","Influenza_ctrl","Influenza_d30",5,5,0.175336209083989,0.110545236668664,0.0601028059388663,1
"Plasma","Influenza_ctrl","Influenza_d30",5,5,0.000365296803652968,0.000252461499621308,0.517904396372576,1
"T_mait","Influenza_ctrl","Influenza_d30",5,5,0.0107762557077626,0.012749305730876,1,1
"T_mem_CD4","Influenza_ctrl","Influenza_d30",5,5,0.152787834902245,0.180347513481126,0.834531622710929,1
"T_mem_CD8","Influenza_ctrl","Influenza_d30",5,5,0.127440228120202,0.125726623484471,1,1
"T_mix","Influenza_ctrl","Influenza_d30",5,5,0.00648978812750525,0.00870992173693512,0.834531622710929,1
"T_naive","Influenza_ctrl","Influenza_d30",5,5,0.0803765387400434,0.118278212572583,0.676103314023147,1
"B_mem","OP_low","OP_med",9,6,0.065356139902987,0.093442531339138,0.175325817620866,1
"B_naive","OP_low","OP_med",9,6,0.0780182232346242,0.0568263184201044,0.376759117811582,1
"DC","OP_low","OP_med",9,6,0.00516505726476533,0.00957807129247532,0.140713524852693,1
"Mono_CD14","OP_low","OP_med",9,6,0.153846153846154,0.153519392868522,0.859683795198666,1
"Mono_CD16","OP_low","OP_med",9,6,0.0467412771560237,0.0371546940667953,0.376759117811582,1
"NK_CD16","OP_low","OP_med",9,6,0.132153614457831,0.128893201633693,0.595883090565178,1
"Plasma","OP_low","OP_med",9,6,0.000376506024096386,0,0.406042136136457,1
"T_mait","OP_low","OP_med",9,6,0.011142061281337,0.0116391958544047,0.953011395422729,1
"T_mem_CD4","OP_low","OP_med",9,6,0.145490454246215,0.18745057014332,0.316471787847978,1
"T_mem_CD8","OP_low","OP_med",9,6,0.128925197855502,0.114236364448547,0.953011395422729,1
"T_mix","OP_low","OP_med",9,6,0.0332360206602291,0.0354789254771236,0.679988402234294,1
"T_naive","OP_low","OP_med",9,6,0.0594879518072289,0.102744192681352,0.316471787847978,1
"B_mem","OP_low","OP_high",9,20,0.065356139902987,0.0741420306056166,0.795425006390593,1
"B_naive","OP_low","OP_high",9,20,0.0780182232346242,0.061631077628045,0.357970672644328,1
"DC","OP_low","OP_high",9,20,0.00516505726476533,0.00972221902454461,0.33385443443022,1
"Mono_CD14","OP_low","OP_high",9,20,0.153846153846154,0.168584074807015,0.33385443443022,1
"Mono_CD16","OP_low","OP_high",9,20,0.0467412771560237,0.0619983577855634,0.436676633674891,1
"NK_CD16","OP_low","OP_high",9,20,0.132153614457831,0.149278967746851,0.832004028572637,1
