"embedding","Dim","covariate","r2_grouped","p_grouped","n_grouped","n_groups","unit_grouped","r2_cell","p_cell","n_cells","p_cell_adj"
"IterativeLSI","Dim1","Cohort",0.582296719439239,2.88721392477276e-11,66,66,"per donor",0.0658579408531478,0,271299,0
"IterativeLSI","Dim1","Control_status",0.00818179220463374,0.549357249907772,92,66,"per sample, donor-adjusted",0.00920249292506048,0,271299,0
"IterativeLSI","Dim1","Exposure_group",0.586969628868725,1.42969992560924e-10,92,66,"per sample, donor-adjusted",0.069612893781934,0,271299,0
"IterativeLSI","Dim1","Age",0.0769461222850059,0.232440602975494,52,52,"per donor",0.00616700105740828,8.1260813531264e-212,155962,2.70869378437547e-211
"IterativeLSI","Dim1","Sex_observed",0.00377030316112684,0.975557497325039,52,52,"per donor",0.000753663644247654,2.13706404812903e-27,155962,3.56177341354839e-27
"IterativeLSI","Dim1","Sex_predicted",0.00305336339290202,0.901192531857471,66,66,"per donor",0.00159950964407082,1.89428312696737e-96,271299,2.36785390870921e-96
"IterativeLSI","Dim1","Days_from_onset",0.00398171359624759,0.565844339267364,50,24,"per sample, donor-adjusted",0.000105736649279031,0.00020450152387468,130407,0.00025562690484335
"IterativeLSI","Dim2","Cohort",0.16397602899077,0.0153331783313939,66,66,"per donor",0.00662887314196914,0,271299,0
"IterativeLSI","Dim2","Control_status",0.0039996654321377,0.587066842766066,92,66,"per sample, donor-adjusted",0.00104301664443317,1.57369091654083e-63,271299,2.62281819423472e-63
"IterativeLSI","Dim2","Exposure_group",0.311929783537364,0.00061274103629013,92,66,"per sample, donor-adjusted",0.0142379051560887,0,271299,0
"IterativeLSI","Dim2","Age",0.0331752690826939,0.488972593278047,52,52,"per donor",0.00267801540035242,5.94851042798702e-93,155962,1.48712760699675e-92
"IterativeLSI","Dim2","Sex_observed",0.0217537724974153,0.975557497325039,52,52,"per donor",0.000383793155380386,1.01453988980155e-14,155962,1.26817486225194e-14
"IterativeLSI","Dim2","Sex_predicted",0.00200705911455221,0.901192531857471,66,66,"per donor",6.98634260063902e-06,0.168596703329944,271299,0.168596703329944
"IterativeLSI","Dim2","Days_from_onset",0.00122048011252229,0.646476158714462,50,24,"per sample, donor-adjusted",3.81758850114556e-08,0.943750237979804,130407,0.943750237979804
"IterativeLSI","Dim3","Cohort",0.254741074933131,0.000614349096322006,66,66,"per donor",0.0181845950383075,0,271299,0
"IterativeLSI","Dim3","Control_status",0.00401647919623423,0.587066842766066,92,66,"per sample, donor-adjusted",0.00283360735966405,1.94879439594923e-169,271299,3.89758879189847e-169
"IterativeLSI","Dim3","Exposure_group",0.310270992260071,0.000679884135541709,92,66,"per sample, donor-adjusted",0.0204904631843497,0,271299,0
"IterativeLSI","Dim3","Age",0.0047790730320455,0.695862597632609,52,52,"per donor",6.19572361200628e-05,0.00188004165449192,155962,0.0023500520681149
"IterativeLSI","Dim3","Sex_observed",0.000245253684348147,0.975557497325039,52,52,"per donor",0.000332827766037617,5.7917847310548e-13,155962,6.43531636783867e-13
"IterativeLSI","Dim3","Sex_predicted",0.0710734955019791,0.152405586500021,66,66,"per donor",0.000361488340535656,4.00145867674681e-23,271299,4.44606519638534e-23
"IterativeLSI","Dim3","Days_from_onset",0.0147927041856251,0.34163257786839,50,24,"per sample, donor-adjusted",0.000402615497223735,4.27312952529107e-13,130407,7.12188254215178e-13
"IterativeLSI","Dim4","Cohort",0.578325093019778,2.89426027503157e-11,66,66,"per donor",0.0524387417810098,0,271299,0
"IterativeLSI","Dim4","Control_status",0.00523466470959186,0.587066842766066,92,66,"per sample, donor-adjusted",0.0150953508453994,0,271299,0
"IterativeLSI","Dim4","Exposure_group",0.546819107345804,2.42978499757168e-10,92,66,"per sample, donor-adjusted",0.056868266409549,0,271299,0
"IterativeLSI","Dim4","Age",0.00227414382909849,0.737086111209898,52,52,"per donor",2.7054178658779e-05,0.0399639779997225,155962,0.0444044199996916
"IterativeLSI","Dim4","Sex_observed",0.00680744628889031,0.975557497325039,52,52,"per donor",0.00257551822349986,1.83308278370002e-89,155962,6.11027594566672e-89
"IterativeLSI","Dim4","Sex_predicted",0.0227565782826512,0.755476619631235,66,66,"per donor",0.00554291009248484,0,271299,0
"IterativeLSI","Dim4","Days_from_onset",0.047219211050625,0.166455508591656,50,24,"per sample, donor-adjusted",0.000998179343557037,3.64560595519364e-30,130407,7.29121191038728e-30
"IterativeLSI","Dim5","Cohort",0.926298359739808,4.77573032208697e-34,66,66,"per donor",0.658075587874209,0,271299,0
"IterativeLSI","Dim5","Control_status",0.00128390456509969,0.549357249907772,92,66,"per sample, donor-adjusted",0.0999206074687029,0,271299,0
"IterativeLSI","Dim5","Exposure_group",0.944906640880041,1.30312659540146e-33,92,66,"per sample, donor-adjusted",0.663551836064903,0,271299,0
"IterativeLSI","Dim5","Age",0.0323758817095521,0.488972593278047,52,52,"per donor",0.0354415321207533,0,155962,0
"IterativeLSI","Dim5","Sex_observed",0.0010870885808193,0.975557497325039,52,52,"per donor",0.00259843551941096,3.04180362711332e-90,155962,1.52090181355666e-89
"IterativeLSI","Dim5","Sex_predicted",5.25026665566953e-07,0.995392960040304,66,66,"per donor",0.0275263492044227,0,271299,0
"IterativeLSI","Dim5","Days_from_onset",0.000761713182458616,0.565844339267364,50,24,"per sample, donor-adjusted",0.00649366348411105,9.04236747815276e-187,130407,4.52118373907638e-186
"IterativeLSI","Dim6","Cohort",0.394564382614603,1.43415859619362e-06,66,66,"per donor",0.170238092307642,0,271299,0
"IterativeLSI","Dim6","Control_status",0.00123532801773718,0.657647915995739,92,66,"per sample, donor-adjusted",0.0241268275353357,0,271299,0
"IterativeLSI","Dim6","Exposure_group",0.542625003946514,8.7414074982693e-08,92,66,"per sample, donor-adjusted",0.206637317620446,0,271299,0
"IterativeLSI","Dim6","Age",0.127808396309686,0.0926997996152183,52,52,"per donor",0.0603631474359484,0,155962,0
"IterativeLSI","Dim6","Sex_observed",0.024969726347361,0.975557497325039,52,52,"per donor",0.00115077535059594,5.99276466582352e-41,155962,1.1985529331647e-40
"IterativeLSI","Dim6","Sex_predicted",0.0027078518912591,0.901192531857471,66,66,"per donor",0.0223627412880686,0,271299,0
"IterativeLSI","Dim6","Days_from_onset",0.0154648664253935,0.25788674358377,50,24,"per sample, donor-adjusted",0.0130259417154023,0,130407,0
"IterativeLSI","Dim7","Cohort",0.0671680028183738,0.226520541475214,66,66,"per donor",0.00718852643730299,0,271299,0
"IterativeLSI","Dim7","Control_status",0.0027303682861494,0.606027695850472,92,66,"per sample, donor-adjusted",1.27910291235967e-05,0.0624843739708608,271299,0.0694270821898453
"IterativeLSI","Dim7","Exposure_group",0.175342915702315,0.185037718780735,92,66,"per sample, donor-adjusted",0.0120226639740403,0,271299,0
"IterativeLSI","Dim7","Age",0.00838387367390669,0.695862597632609,52,52,"per donor",0.000102164859041602,6.55761922987002e-05,155962,9.36802747124289e-05
"IterativeLSI","Dim7","Sex_observed",0.00064559462350631,0.975557497325039,52,52,"per donor",0.000678990173544419,7.63503641757743e-25,155962,1.09071948822535e-24
"IterativeLSI","Dim7","Sex_predicted",0.000661133353494655,0.93069462601389,66,66,"per donor",0.00664806531522561,0,271299,0
"IterativeLSI","Dim7","Days_from_onset",0.00386419708254441,0.565844339267364,50,24,"per sample, donor-adjusted",0.00155244703317163,5.64589513650225e-46,130407,1.41147378412556e-45
"IterativeLSI","Dim8","Cohort",0.140419367873282,0.0297624623057903,66,66,"per donor",0.0229647525463067,0,271299,0
"IterativeLSI","Dim8","Control_status",0.00655238319603713,0.549357249907772,92,66,"per sample, donor-adjusted",5.57691451500766e-09,0.968972295407824,271299,0.968972295407824
"IterativeLSI","Dim8","Exposure_group",0.260141112928733,0.00962567543175898,92,66,"per sample, donor-adjusted",0.0342261287961976,0,271299,0
"IterativeLSI","Dim8","Age",0.0269914247164596,0.488972593278047,52,52,"per donor",4.6248039796923e-06,0.395723127297034,155962,0.395723127297034
"IterativeLSI","Dim8","Sex_observed",1.89633750604571e-05,0.975557497325039,52,52,"per donor",2.62272358144958e-06,0.522457575355075,155962,0.522457575355075
"IterativeLSI","Dim8","Sex_predicted",0.00260930241899121,0.901192531857471,66,66,"per donor",0.00388582436818934,1.05878088600227e-231,271299,1.51254412286038e-231
"IterativeLSI","Dim8","Days_from_onset",0.018861608429254,0.166455508591656,50,24,"per sample, donor-adjusted",0.00245845134179979,8.8252675111528e-72,130407,2.94175583705093e-71
"IterativeLSI","Dim9","Cohort",0.682578456433392,9.40223112056555e-15,66,66,"per donor",0.0425253862545201,0,271299,0
"IterativeLSI","Dim9","Control_status",0.00794421250008864,0.549357249907772,92,66,"per sample, donor-adjusted",0.000439676694045796,8.9623341923218e-28,271299,1.28033345604597e-27
"IterativeLSI","Dim9","Exposure_group",0.731953534240819,1.34767856324948e-16,92,66,"per sample, donor-adjusted",0.0555430942195939,0,271299,0
"IterativeLSI","Dim9","Age",0.00578928093402476,0.695862597632609,52,52,"per donor",0.00173627871642497,6.78612786677591e-61,155962,1.35722557335518e-60
"IterativeLSI","Dim9","Sex_observed",0.00158675780701086,0.975557497325039,52,52,"per donor",0.00268266016895753,4.13342352271532e-93,155962,4.13342352271532e-92
"IterativeLSI","Dim9","Sex_predicted",0.00446141222340251,0.901192531857471,66,66,"per donor",0.00399561611264213,3.35114231417049e-238,271299,5.58523719028416e-238
"IterativeLSI","Dim9","Days_from_onset",0.0109766429259684,0.283399742225056,50,24,"per sample, donor-adjusted",0.000285763414633824,1.0284625316312e-09,130407,1.46923218804457e-09
"IterativeLSI","Dim10","Cohort",0.130394273947405,0.0367674439653738,66,66,"per donor",0.0228326827276837,0,271299,0
"IterativeLSI","Dim10","Control_status",0.00347937100904694,0.587066842766066,92,66,"per sample, donor-adjusted",2.58251262669167e-05,0.00812207923211731,271299,0.0101525990401466
"IterativeLSI","Dim10","Exposure_group",0.229521524571578,0.168633158633143,92,66,"per sample, donor-adjusted",0.0272304591572158,0,271299,0
"IterativeLSI","Dim10","Age",0.0057202773065612,0.695862597632609,52,52,"per donor",0.000142371338938077,2.44939962496089e-06,155962,4.08233270826815e-06
"IterativeLSI","Dim10","Sex_observed",0.0303327309912498,0.975557497325039,52,52,"per donor",0.00198430625906939,2.44004689440644e-69,155962,6.1001172360161e-69
"IterativeLSI","Dim10","Sex_predicted",0.101556183909026,0.0911081728748707,66,66,"per donor",0.00737063677586975,0,271299,0
"IterativeLSI","Dim10","Days_from_onset",0.00327743752119324,0.565844339267364,50,24,"per sample, donor-adjusted",2.23545172838733e-06,0.589252406101513,130407,0.654724895668348
"Harmony","Dim1","Cohort",0.0621171239184858,0.482202200091376,66,66,"per donor",0.00601713500692714,0,271299,0
"Harmony","Dim1","Control_status",0.0014286064041274,0.757289880528128,92,66,"per sample, donor-adjusted",7.29749080557806e-05,8.60474988961316e-06,271299,9.56083321068129e-06
"Harmony","Dim1","Exposure_group",0.179099648485474,0.0796407532227556,92,66,"per sample, donor-adjusted",0.0099793743597931,0,271299,0
"Harmony","Dim1","Age",0.103525524994655,0.200170883235126,52,52,"per donor",0.00303993232594777,2.85155353910391e-105,155962,1.42577676955196e-104
"Harmony","Dim1","Sex_observed",0.00612078603253087,0.852137968403656,52,52,"per donor",2.63732194839368e-06,0.52130233330417,155962,0.52130233330417
"Harmony","Dim1","Sex_predicted",0.00097879852703997,0.80307348026436,66,66,"per donor",0.000600892439953602,2.41626300634553e-37,271299,3.02032875793191e-37
"Harmony","Dim1","Days_from_onset",0.00419716701128916,0.646611965881878,50,24,"per sample, donor-adjusted",2.14296584043824e-05,0.0945850907903868,130407,0.105094545322652
"Harmony","Dim2","Cohort",0.172292643582832,0.0803946398344002,66,66,"per donor",0.00696992370320654,0,271299,0
"Harmony","Dim2","Control_status",0.00401556970714764,0.531910020178916,92,66,"per sample, donor-adjusted",0.000964737667596519,6.75920968833602e-59,271299,1.3518419376672e-58
"Harmony","Dim2","Exposure_group",0.31759763816988,0.0028657097174199,92,66,"per sample, donor-adjusted",0.0145805679958932,0,271299,0
"Harmony","Dim2","Age",0.0331489169291408,0.392834187845187,52,52,"per donor",0.00282544251999725,5.70479082946774e-98,155962,1.90159694315591e-97
"Harmony","Dim2","Sex_observed",0.0224126992642878,0.852137968403656,52,52,"per donor",0.000412978312056089,1.00471557354721e-15,155962,1.67452595591202e-15
"Harmony","Dim2","Sex_predicted",0.00233807896941588,0.80307348026436,66,66,"per donor",1.42950159700018e-06,0.533448031270087,271299,0.533448031270087
"Harmony","Dim2","Days_from_onset",0.00105337069227863,0.661659214278898,50,24,"per sample, donor-adjusted",6.83143238917688e-07,0.765343648995242,130407,0.765343648995242
"Harmony","Dim3","Cohort",0.0582960403949766,0.482202200091376,66,66,"per donor",0.00577369309260026,0,271299,0
"Harmony","Dim3","Control_status",0.0118820810799173,0.388374748866339,92,66,"per sample, donor-adjusted",0.000556295362970863,1.06777516653461e-34,271299,1.52539309504944e-34
"Harmony","Dim3","Exposure_group",0.147667145015389,0.10138111176801,92,66,"per sample, donor-adjusted",0.00803402928464487,0,271299,0
"Harmony","Dim3","Age",0.0061408598384568,0.726012602331932,52,52,"per donor",0.000123239771876182,1.16389127408412e-05,155962,1.29321252676014e-05
"Harmony","Dim3","Sex_observed",0.000997787110319147,0.915644075415477,52,52,"per donor",4.41205782756772e-05,0.00871082730395241,155962,0.0108885341299405
"Harmony","Dim3","Sex_predicted",0.0737716214254647,0.273800837056265,66,66,"per donor",0.000356544495335691,7.87958895743594e-23,271299,8.75509884159549e-23
"Harmony","Dim3","Days_from_onset",0.0142561290452769,0.33190428196583,50,24,"per sample, donor-adjusted",0.000325331139063123,7.31997801697515e-11,130407,1.04571114528216e-10
"Harmony","Dim4","Cohort",0.117972410331404,0.241260013678642,66,66,"per donor",0.000333968419657988,1.61266126153645e-19,271299,2.30380180219492e-19
