"cell","comparison","adj_set","adj_columns","DARs_unadjusted","DARs_adjusted","shared","recovered_pct","sign_concordance_pct","lfc_pearson_all","n_regions_tested","n_samples","residual_df","status"
"Mono_CD14","C19_mild vs C19_ctrl","TSS_FRIP","mean_TSS + mean_FRIP",NA,NA,NA,NA,NA,NA,NA,NA,NA,"failed: could not find function ""cutL0.5fc2Padj05"""
"Mono_CD14","C19_mod vs C19_ctrl","TSS","mean_TSS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"failed: invalid class “ReportGgPlot” object: ggp must be a ggplot object"
"Mono_CD14","C19_mod vs C19_ctrl","FRIP","mean_FRIP",NA,NA,NA,NA,NA,NA,NA,NA,NA,"failed: invalid class “ReportGgPlot” object: ggp must be a ggplot object"
"Mono_CD14","C19_mod vs C19_ctrl","nFrags","mean_log10_nFrags",NA,NA,NA,NA,NA,NA,NA,NA,NA,"failed: invalid class “ReportGgPlot” object: ggp must be a ggplot object"
"Mono_CD14","C19_mod vs C19_ctrl","nCells","n_cells",NA,NA,NA,NA,NA,NA,NA,NA,NA,"failed: invalid class “ReportGgPlot” object: ggp must be a ggplot object"
"Mono_CD14","C19_mod vs C19_ctrl","TSS_FRIP","mean_TSS + mean_FRIP",NA,NA,NA,NA,NA,NA,NA,NA,NA,"failed: could not find function ""cutL0.5fc2Padj05"""
"Mono_CD14","C19_mod vs C19_ctrl","QC_all","mean_TSS + mean_FRIP + mean_log10_nFrags + n_cells",NA,NA,NA,NA,NA,NA,NA,NA,NA,"failed: invalid class “ReportGgPlot” object: ggp must be a ggplot object"
"Mono_CD14","C19_mod vs C19_ctrl","Sex","Sex_predicted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"failed: invalid class “ReportGgPlot” object: ggp must be a ggplot object"
"Mono_CD14","C19_mod vs C19_ctrl","Donor","Donor_ID",NA,NA,NA,NA,NA,NA,NA,10,-2,"not feasible: Donor_ID: one sample per level (collinear with sample); residual df -2 < 2"
"Mono_CD14","C19_mod vs C19_ctrl","TSS_FRIP_Sex","mean_TSS + mean_FRIP + Sex_predicted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"failed: invalid class “ReportGgPlot” object: ggp must be a ggplot object"
"Mono_CD14","C19_mod vs C19_ctrl","TSS_FRIP_Donor","mean_TSS + mean_FRIP + Donor_ID",NA,NA,NA,NA,NA,NA,NA,10,-4,"not feasible: Donor_ID: one sample per level (collinear with sample); residual df -4 < 2"
"Mono_CD14","C19_sev vs C19_ctrl","TSS","mean_TSS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"failed: invalid class “ReportGgPlot” object: ggp must be a ggplot object"
"Mono_CD14","C19_sev vs C19_ctrl","FRIP","mean_FRIP",NA,NA,NA,NA,NA,NA,NA,NA,NA,"failed: invalid class “ReportGgPlot” object: ggp must be a ggplot object"
"Mono_CD14","C19_sev vs C19_ctrl","nFrags","mean_log10_nFrags",NA,NA,NA,NA,NA,NA,NA,NA,NA,"failed: invalid class “ReportGgPlot” object: ggp must be a ggplot object"
"Mono_CD14","C19_sev vs C19_ctrl","nCells","n_cells",NA,NA,NA,NA,NA,NA,NA,NA,NA,"failed: invalid class “ReportGgPlot” object: ggp must be a ggplot object"
"Mono_CD14","C19_sev vs C19_ctrl","TSS_FRIP","mean_TSS + mean_FRIP",NA,NA,NA,NA,NA,NA,NA,NA,NA,"failed: could not find function ""cutL0.5fc2Padj05"""
"Mono_CD14","C19_sev vs C19_ctrl","QC_all","mean_TSS + mean_FRIP + mean_log10_nFrags + n_cells",NA,NA,NA,NA,NA,NA,NA,NA,NA,"failed: invalid class “ReportGgPlot” object: ggp must be a ggplot object"
"Mono_CD14","C19_sev vs C19_ctrl","Sex","Sex_predicted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"failed: invalid class “ReportGgPlot” object: ggp must be a ggplot object"
"Mono_CD14","C19_sev vs C19_ctrl","Donor","Donor_ID",NA,NA,NA,NA,NA,NA,NA,11,-2,"not feasible: Donor_ID: one sample per level (collinear with sample); residual df -2 < 2"
"Mono_CD14","C19_sev vs C19_ctrl","TSS_FRIP_Sex","mean_TSS + mean_FRIP + Sex_predicted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"failed: invalid class “ReportGgPlot” object: ggp must be a ggplot object"
"Mono_CD14","C19_sev vs C19_ctrl","TSS_FRIP_Donor","mean_TSS + mean_FRIP + Donor_ID",NA,NA,NA,NA,NA,NA,NA,11,-4,"not feasible: Donor_ID: one sample per level (collinear with sample); residual df -4 < 2"
"NK_CD16","C19_mild vs C19_ctrl","TSS_FRIP","mean_TSS + mean_FRIP",NA,NA,NA,NA,NA,NA,NA,NA,NA,"failed: could not find function ""cutL0.5fc2Padj05"""
"NK_CD16","C19_mod vs C19_ctrl","TSS_FRIP","mean_TSS + mean_FRIP",NA,NA,NA,NA,NA,NA,NA,NA,NA,"failed: could not find function ""cutL0.5fc2Padj05"""
"NK_CD16","C19_sev vs C19_ctrl","TSS_FRIP","mean_TSS + mean_FRIP",NA,NA,NA,NA,NA,NA,NA,NA,NA,"failed: could not find function ""cutL0.5fc2Padj05"""
"T_mem_CD4","C19_mild vs C19_ctrl","TSS_FRIP","mean_TSS + mean_FRIP",NA,NA,NA,NA,NA,NA,NA,NA,NA,"failed: could not find function ""cutL0.5fc2Padj05"""
"T_mem_CD8","C19_mild vs C19_ctrl","TSS_FRIP","mean_TSS + mean_FRIP",NA,NA,NA,NA,NA,NA,NA,NA,NA,"failed: could not find function ""cutL0.5fc2Padj05"""
"T_mem_CD8","C19_mod vs C19_ctrl","TSS_FRIP","mean_TSS + mean_FRIP",NA,NA,NA,NA,NA,NA,NA,NA,NA,"failed: could not find function ""cutL0.5fc2Padj05"""
