"collection","filename","description","userSet","log2OR_unadj","qValue_unadj","support_unadj","log2OR_adj","qValue_adj","support_adj","cell","comparison","sig_unadj","sig_adj","agreement"
"TF_motifs","regionSet_114.bed","MA0490.1_JUNB","gain",2.08523724679653,4.08950420605471e-44,182,1.95564888662097,3.67321159851888e-22,102,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,TRUE,"significant in both"
"TF_motifs_vert","regionSet_156.bed","MA0490.1_JUNB","gain",2.08523724679653,4.08950420605471e-44,182,1.95564888662097,3.67321159851888e-22,102,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,TRUE,"significant in both"
"TF_motifs","regionSet_106.bed","MA0477.1_FOSL1","gain",2.01527238192066,5.60717477201023e-42,183,1.9141757049283,8.47336403741771e-22,104,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,TRUE,"significant in both"
"TF_motifs_vert","regionSet_144.bed","MA0477.1_FOSL1","gain",2.01527238192066,5.60717477201023e-42,183,1.9141757049283,8.47336403741771e-22,104,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,TRUE,"significant in both"
"TF_motifs","regionSet_107.bed","MA0478.1_FOSL2","gain",2.01657543761622,6.54751744945552e-41,176,1.97639035790164,1.48940227945252e-22,103,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,TRUE,"significant in both"
"TF_motifs_vert","regionSet_145.bed","MA0478.1_FOSL2","gain",2.01657543761622,6.54751744945552e-41,176,1.97639035790164,1.48940227945252e-22,103,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,TRUE,"significant in both"
"TF_motifs","regionSet_435.bed","MA1141.1_FOS::JUND","gain",2.09144112032157,1.12138371796605e-40,161,1.96237432028888,2.6600624429571e-20,90,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,TRUE,"significant in both"
"TF_motifs_vert","regionSet_561.bed","MA1141.1_FOS::JUND","gain",2.09144112032157,1.12138371796605e-40,161,1.96237432028888,2.6600624429571e-20,90,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,TRUE,"significant in both"
"TF_motifs","regionSet_422.bed","MA1128.1_FOSL1::JUN","gain",2.15028293454724,1.55468937679741e-40,151,1.94559377491998,1.88895634193492e-18,81,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,TRUE,"significant in both"
"TF_motifs_vert","regionSet_548.bed","MA1128.1_FOSL1::JUN","gain",2.15028293454724,1.55468937679741e-40,151,1.94559377491998,1.88895634193492e-18,81,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,TRUE,"significant in both"
"TF_motifs","regionSet_50.bed","MA0099.3_FOS::JUN","gain",2.17731358148777,7.68070148537107e-40,144,1.96933139893777,4.44815756473125e-18,77,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,TRUE,"significant in both"
"TF_motifs_vert","regionSet_70.bed","MA0099.3_FOS::JUN","gain",2.17731358148777,7.68070148537107e-40,144,1.96933139893777,4.44815756473125e-18,77,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,TRUE,"significant in both"
"TF_motifs","regionSet_429.bed","MA1135.1_FOSB::JUNB","gain",2.19444994591153,9.83455030801474e-39,137,1.98304473565765,1.56011205257046e-17,73,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,TRUE,"significant in both"
