"cell","comparison","covariate","type","n_grp1","n_grp2","mean_grp1","mean_grp2","sd_grp1","sd_grp2","SMD","null_median_abs_SMD","null_q95_abs_SMD","p_perm","p_wilcoxon","p_floor","p_perm_BH","imbalanced","SMD_vs_null","p_uninformative"
"Mono_CD14","C19_mild vs C19_ctrl","mean_TSS","continuous",8,6,10.42,11.48,0.7425,1.587,-0.8542,0.4088,1.115,0.142,0.1752,0.000666,0.9766,"not distinguishable from chance",2.089,FALSE
"Mono_CD14","C19_mild vs C19_ctrl","mean_FRIP","continuous",8,6,0.4329,0.4121,0.07188,0.1001,0.2385,0.357,1.141,0.6591,0.8465,0.000666,0.9766,"not distinguishable from chance",0.6681,FALSE
"Mono_CD14","C19_mild vs C19_ctrl","mean_log10_nFrags","continuous",8,6,3.968,3.814,0.1114,0.2028,0.9412,0.3752,1.168,0.1052,0.1066,0.000666,0.9766,"not distinguishable from chance",2.508,FALSE
"Mono_CD14","C19_mild vs C19_ctrl","n_cells","continuous",8,6,1192,4211,959.1,2578,-1.552,0.3711,1.265,0.0192,0.04539,0.000666,0.9766,"not distinguishable from chance",4.182,FALSE
"Mono_CD14","C19_mild vs C19_ctrl","Sex_predicted","categorical",8,6,NA,NA,NA,NA,NA,NA,NA,0.627,0.627,NA,NA,"not distinguishable from chance",NA,FALSE
"Mono_CD14","C19_mild vs C19_ctrl","Donor_ID","categorical",8,6,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,"not distinguishable from chance",NA,FALSE
"Mono_CD14","C19_mod vs C19_ctrl","mean_TSS","continuous",4,6,10.76,11.48,0.7467,1.587,-0.5854,0.4969,1.28,0.4349,0.7491,0.009524,0.9766,"not distinguishable from chance",1.178,FALSE
"Mono_CD14","C19_mod vs C19_ctrl","mean_FRIP","continuous",4,6,0.3646,0.4121,0.03465,0.1001,-0.6343,0.4292,1.537,0.3443,0.594,0.009524,0.9766,"not distinguishable from chance",1.478,FALSE
"Mono_CD14","C19_mod vs C19_ctrl","mean_log10_nFrags","continuous",4,6,3.805,3.814,0.1931,0.2028,-0.04363,0.4356,1.559,0.9564,0.9151,0.009524,0.9886,"not distinguishable from chance",0.1002,FALSE
"Mono_CD14","C19_mod vs C19_ctrl","n_cells","continuous",4,6,1292,4211,724.2,2578,-1.542,0.4257,1.777,0.06419,0.1098,0.009524,0.9766,"not distinguishable from chance",3.621,FALSE
