"cohort","supplier","n","exposure_group","processing_batch","tss_cutoff","log10frags_cutoff"
"HIV","DU",12,NA,NA,NA,NA
"OP","DU",35,NA,NA,NA,NA
"C19","Stanford",25,NA,NA,NA,NA
"Influenza","vaxart",20,NA,NA,NA,NA
NA,NA,6,"C19_ctrl","710",NA,NA
NA,NA,3,"C19_mod","710",NA,NA
NA,NA,4,"C19_sev","710",NA,NA
NA,NA,1,"C19_ctrl","720",NA,NA
NA,NA,8,"C19_mild","720",NA,NA
NA,NA,1,"C19_mod","720",NA,NA
NA,NA,2,"C19_sev","720",NA,NA
"C19",NA,1,NA,NA,"5",NA
"C19",NA,5,NA,NA,"6",NA
"C19",NA,8,NA,NA,"7",NA
"Influenza",NA,1,NA,NA,"7",NA
"C19",NA,8,NA,NA,"8",NA
"Influenza",NA,5,NA,NA,"8",NA
"OP",NA,1,NA,NA,"8",NA
"Influenza",NA,2,NA,NA,"9",NA
"C19",NA,3,NA,NA,"10",NA
"HIV",NA,12,NA,NA,"10",NA
"Influenza",NA,12,NA,NA,"10",NA
"OP",NA,34,NA,NA,"10",NA
"C19",NA,2,NA,NA,NA,"3.2"
"C19",NA,2,NA,NA,NA,"3.3"
"Influenza",NA,3,NA,NA,NA,"3.3"
"OP",NA,4,NA,NA,NA,"3.3"
"HIV",NA,2,NA,NA,NA,"3.4"
"Influenza",NA,4,NA,NA,NA,"3.4"
"OP",NA,1,NA,NA,NA,"3.4"
"C19",NA,7,NA,NA,NA,"3.5"
"HIV",NA,4,NA,NA,NA,"3.5"
"Influenza",NA,1,NA,NA,NA,"3.5"
"OP",NA,16,NA,NA,NA,"3.5"
"C19",NA,4,NA,NA,NA,"3.6"
"HIV",NA,4,NA,NA,NA,"3.6"
"OP",NA,5,NA,NA,NA,"3.6"
"C19",NA,4,NA,NA,NA,"3.7"
"Influenza",NA,3,NA,NA,NA,"3.7"
"OP",NA,5,NA,NA,NA,"3.7"
"C19",NA,6,NA,NA,NA,"3.8"
"HIV",NA,2,NA,NA,NA,"3.8"
"Influenza",NA,8,NA,NA,NA,"3.8"
"OP",NA,4,NA,NA,NA,"3.8"
"Influenza",NA,1,NA,NA,NA,"4"
