"embedding","Dim","dim_index","var_share_between_samples","var_share_cells","depth_cor","covariate","r2","adj_r2","p","r2_partial_adjCohort","adj_r2_partial_adjCohort","p_adjCohort","n","n_group","unit","p_adj","p_adjCohort_bh"
"IterativeLSI","Dim1",1,0.0210998242677613,0.0221310661919028,0.08289469165918,"Cohort",0.582296719439239,0.562085270379847,8.66164177431827e-12,NA,NA,NA,66,66,"donor",2.88721392477276e-11,NA
"IterativeLSI","Dim1",1,0.0210998242677613,0.0221310661919028,0.08289469165918,"Control_status",-0.0757151769713926,-0.118743784050248,0.219742899963109,-0.000154109046243535,-0.0401602734080932,0.976443635034329,92,66,"sample (LMM)",0.549357249907772,0.976443635034329
"IterativeLSI","Dim1",1,0.0210998242677613,0.0221310661919028,0.08289469165918,"Exposure_group",0.332413607875062,-0.335172784249876,4.28909977682771e-11,0.617887669993238,0.379067463739011,0.070588232681528,92,66,"sample (LMM)",1.93009489957247e-10,0.110944127018176
"IterativeLSI","Dim1",1,0.0210998242677613,0.0221310661919028,0.08289469165918,"Age",0.0769461222850059,0.0584850447307061,0.0464881205950987,0.0762182436016546,0.0569727903433558,0.0522969656260524,52,52,"donor",0.232440602975494,0.261484828130262
"IterativeLSI","Dim1",1,0.0210998242677613,0.0221310661919028,0.08289469165918,"Sex_observed",0.00377030316112684,-0.0161542907756504,0.665431316439763,0.0312827595245131,0.0111011503479406,0.219170344812541,52,52,"donor",0.975557497325039,0.547925862031354
"IterativeLSI","Dim1",1,0.0210998242677613,0.0221310661919028,0.08289469165918,"Sex_predicted",0.00305336339290202,-0.0125239278040838,0.65945064874924,0.00901720525273765,-0.00722841433328325,0.459120655601507,66,66,"donor",0.901192531857471,0.765201092669179
"IterativeLSI","Dim1",1,0.0210998242677613,0.0221310661919028,0.08289469165918,"Sampling_day",0.0326679752626381,-0.00602530572685644,0.454070419103495,0.035560430447525,-0.00301715233457411,0.52112983917231,50,24,"sample (LMM)",0.565844339267364,0.597519255119093
"IterativeLSI","Dim1",1,0.0210998242677613,0.0221310661919028,0.08289469165918,"Viral_load",0.336302300558358,0.241488343495266,0.107176009113567,0.336302300558358,0.241488343495266,0.107176009113567,12,4,"sample (LMM)",0.133970011391959,0.133970011391959
"IterativeLSI","Dim1",1,0.0210998242677613,0.0221310661919028,0.08289469165918,"Batch_C19",0.000735213515834261,-0.0492280258083739,0.90465934942565,0.000735213515834261,-0.0492280258083739,0.90465934942565,22,22,"donor",0.90465934942565,0.90465934942565
"IterativeLSI","Dim1",1,0.0210998242677613,0.0221310661919028,0.08289469165918,"Supplier",0.581314774027251,0.568023179551926,1.22874155091668e-12,NA,NA,NA,66,66,"donor",4.09580516972226e-12,NA
"IterativeLSI","Dim1",1,0.0210998242677613,0.0221310661919028,0.08289469165918,"QC_tss_cutoff",0.167215632967361,0.133904258286056,2.52740787864753e-13,0.321605277008986,0.294469488089345,0.00167552359137356,92,66,"sample (LMM)",1.13733354539139e-12,0.0041888089784339
"IterativeLSI","Dim1",1,0.0210998242677613,0.0221310661919028,0.08289469165918,"QC_frag_cutoff",0.0277207328717275,-0.0111704378134034,0.492478881194507,0.0531252858817706,0.0152502973170415,0.199556739961097,92,66,"sample (LMM)",0.615598601493133,0.256572951378554
"IterativeLSI","Dim1",1,0.0210998242677613,0.0221310661919028,0.08289469165918,"QC_nCells",0.177008654107665,0.144089000271972,0.0021058209788242,0.224831776990608,0.193825048070232,0.0245233751076329,92,66,"sample (LMM)",0.00701940326274734,0.0613084377690823
"IterativeLSI","Dim1",1,0.0210998242677613,0.0221310661919028,0.08289469165918,"QC_meanTSS",0.158403851547464,0.124740005609363,1.58449639358583e-15,0.373072442932178,0.347995340649465,0.00543990478778878,92,66,"sample (LMM)",7.13023377113623e-15,0.0181330159592959
"IterativeLSI","Dim1",1,0.0210998242677613,0.0221310661919028,0.08289469165918,"QC_meanLog10Frags",NA,NA,NA,-0.0187242804787938,-0.0594732516979455,0.426598759010904,92,NA,NA,NA,0.53324844876363
"IterativeLSI","Dim1",1,0.0210998242677613,0.0221310661919028,0.08289469165918,"QC_meanFRIP",0.0400347208635086,0.00163610969804906,2.1876922176483e-13,0.281897612629167,0.253173517134333,0.00761099391965868,92,66,"sample (LMM)",9.84461497941735e-13,0.011416490879488
"IterativeLSI","Dim2",2,0.370818403100525,0.46038284033893,0.099892931320489,"Cohort",0.16397602899077,0.123523256200001,0.0107332248319757,NA,NA,NA,66,66,"donor",0.0153331783313939,NA
"IterativeLSI","Dim2",2,0.370818403100525,0.46038284033893,0.099892931320489,"Control_status",0.00174576705690987,-0.0381844022608138,0.434261995479128,-0.0767849151830421,-0.119856311790364,0.140226511048134,92,66,"sample (LMM)",0.587066842766066,0.350566277620335
"IterativeLSI","Dim2",2,0.370818403100525,0.46038284033893,0.099892931320489,"Exposure_group",0.515322309130308,0.0306446182606166,0.000367644621774078,0.65238371874677,0.435123542963502,0.00895148722721878,92,66,"sample (LMM)",0.000661760319193341,0.0298382907573959
"IterativeLSI","Dim2",2,0.370818403100525,0.46038284033893,0.099892931320489,"Age",0.0331752690826939,0.0138387744643477,0.196236290361336,0.0108381494814578,-0.00976938907101199,0.471843348131282,52,52,"donor",0.488972593278047,0.786405580218803
"IterativeLSI","Dim2",2,0.370818403100525,0.46038284033893,0.099892931320489,"Sex_observed",0.0217537724974153,0.00218884794736363,0.296743353230397,0.0112604448323208,-0.00933829590033941,0.463287502109327,52,52,"donor",0.975557497325039,0.772145836848879
"IterativeLSI","Dim2",2,0.370818403100525,0.46038284033893,0.099892931320489,"Sex_predicted",0.00200705911455221,-0.013586580586783,0.720954025485977,0.00194885319949297,-0.0144126410103513,0.731186654361249,66,66,"donor",0.901192531857471,0.912939835382589
"IterativeLSI","Dim2",2,0.370818403100525,0.46038284033893,0.099892931320489,"Sampling_day",0.0138711263995615,-0.0255740285444559,0.646476158714462,0.0235159285798407,-0.0155434342769656,0.695453730048482,50,24,"sample (LMM)",0.646476158714462,0.695453730048482
"IterativeLSI","Dim2",2,0.370818403100525,0.46038284033893,0.099892931320489,"Viral_load",0.482117849999921,0.408134685714196,0.0292335158015592,0.482117849999921,0.408134685714196,0.0292335158015592,12,4,"sample (LMM)",0.048722526335932,0.048722526335932
"IterativeLSI","Dim2",2,0.370818403100525,0.46038284033893,0.099892931320489,"Batch_C19",0.34958919462535,0.317068654356618,0.00375555734114539,0.34958919462535,0.317068654356618,0.00375555734114539,22,22,"donor",0.00938889335286347,0.00938889335286347
"IterativeLSI","Dim2",2,0.370818403100525,0.46038284033893,0.099892931320489,"Supplier",0.149213567505917,0.122204474410867,0.00615669303717466,NA,NA,NA,66,66,"donor",0.00879527576739238,NA
"IterativeLSI","Dim2",2,0.370818403100525,0.46038284033893,0.099892931320489,"QC_tss_cutoff",0.14345218614352,0.109190273589261,3.94501497866841e-07,0.349061336847443,0.323023790321341,0.000119964186408722,92,66,"sample (LMM)",1.18350449360052e-06,0.000599820932043608
"IterativeLSI","Dim2",2,0.370818403100525,0.46038284033893,0.099892931320489,"QC_frag_cutoff",-0.0248202478453548,-0.0658130577591689,0.120440824362347,-0.100015793299228,-0.144016425031197,0.07554706257141,92,66,"sample (LMM)",0.200734707270578,0.113320593857115
"IterativeLSI","Dim2",2,0.370818403100525,0.46038284033893,0.099892931320489,"QC_nCells",0.310706995680343,0.283135275507557,8.53615038522349e-06,0.385207124859552,0.360615409853934,4.91874176023933e-05,92,66,"sample (LMM)",4.26807519261175e-05,0.000245937088011966
"IterativeLSI","Dim2",2,0.370818403100525,0.46038284033893,0.099892931320489,"QC_meanTSS",0.337720628377685,0.311229453512793,1.08577237721339e-07,0.640296644744484,0.625908510534264,2.75320355134399e-08,92,66,"sample (LMM)",3.25731713164016e-07,2.75320355134399e-07
"IterativeLSI","Dim2",2,0.370818403100525,0.46038284033893,0.099892931320489,"QC_meanLog10Frags",-0.0224137606982615,-0.0633103111261919,0.802565737949351,0.00442085927558061,-0.0354023063533964,0.00728831299934908,92,66,"sample (LMM)",0.802565737949351,0.0104118757133558
"IterativeLSI","Dim2",2,0.370818403100525,0.46038284033893,0.099892931320489,"QC_meanFRIP",0.221180979184435,0.190028218351813,2.48881092625939e-06,0.391908838901865,0.367585192457939,0.000139825014836011,92,66,"sample (LMM)",4.47985966726691e-06,0.000269087251500253
"IterativeLSI","Dim3",3,0.053036855445612,0.139117434394648,0.113767200458159,"Cohort",0.254741074933131,0.218680159204089,0.000368609457793203,NA,NA,NA,66,66,"donor",0.000614349096322006,NA
"IterativeLSI","Dim3",3,0.053036855445612,0.139117434394648,0.113767200458159,"Control_status",0.0994606682251145,0.063439094954119,0.391578391945283,0.124815202586904,0.08980781069038,0.0512055504576629,92,66,"sample (LMM)",0.587066842766066,0.17068516819221
"IterativeLSI","Dim3",3,0.053036855445612,0.139117434394648,0.113767200458159,"Exposure_group",0.436492565971813,-0.127014868056375,0.000475918894879196,0.536783645670743,0.247273424214957,0.0977848647629597,92,66,"sample (LMM)",0.000713878342318794,0.1222310809537
"IterativeLSI","Dim3",3,0.053036855445612,0.139117434394648,0.113767200458159,"Age",0.0047790730320455,-0.0151253455073135,0.626276337869349,0.0174685428097705,-0.0030008625483593,0.360213743388578,52,52,"donor",0.695862597632609,0.720427486777157
"IterativeLSI","Dim3",3,0.053036855445612,0.139117434394648,0.113767200458159,"Sex_observed",0.000245253684348147,-0.0197498412419648,0.91225749816302,0.00196747927911077,-0.0188248649025744,0.759708348051589,52,52,"donor",0.975557497325039,0.930729896149489
"IterativeLSI","Dim3",3,0.053036855445612,0.139117434394648,0.113767200458159,"Sex_predicted",0.0710734955019791,0.0565590188691977,0.0304811173000042,0.0794342727550261,0.0643430313247806,0.0252325909158321,66,66,"donor",0.152405586500021,0.126162954579161
"IterativeLSI","Dim3",3,0.053036855445612,0.139117434394648,0.113767200458159,"Sampling_day",0.0976120295337542,0.0615165107151043,0.170816288934195,0.098768470279927,0.0627192090911241,0.17474787081096,50,24,"sample (LMM)",0.34163257786839,0.34949574162192
"IterativeLSI","Dim3",3,0.053036855445612,0.139117434394648,0.113767200458159,"Viral_load",0.476735042160807,0.401982905326637,0.0147917231510935,0.476735042160807,0.401982905326637,0.0147917231510935,12,4,"sample (LMM)",0.0303529896529976,0.0303529896529976
"IterativeLSI","Dim3",3,0.053036855445612,0.139117434394648,0.113767200458159,"Batch_C19",0.0201826628963043,-0.0288082039588804,0.528261032091099,0.0201826628963043,-0.0288082039588804,0.528261032091099,22,22,"donor",0.586956702323443,0.586956702323443
"IterativeLSI","Dim3",3,0.053036855445612,0.139117434394648,0.113767200458159,"Supplier",0.203444639767819,0.178157168014417,0.000773219646373887,NA,NA,NA,66,66,"donor",0.00128869941062315,NA
"IterativeLSI","Dim3",3,0.053036855445612,0.139117434394648,0.113767200458159,"QC_tss_cutoff",0.0894993717161267,0.0530793465847716,0.000131572961721225,0.105283524023303,0.0694948649842346,0.0274924829544796,92,66,"sample (LMM)",0.000236831331098204,0.0549849659089592
"IterativeLSI","Dim3",3,0.053036855445612,0.139117434394648,0.113767200458159,"QC_frag_cutoff",0.179975260215362,0.147174270623976,0.0117366227914021,0.15914078819703,0.125506419724911,0.0016362347145163,92,66,"sample (LMM)",0.0293415569785052,0.00368152810766168
"IterativeLSI","Dim3",3,0.053036855445612,0.139117434394648,0.113767200458159,"QC_nCells",0.0187692018882063,-0.0204800300362655,0.474297263948381,-0.00394288991892597,-0.0441006055156832,0.95061998253297,92,66,"sample (LMM)",0.592871579935476,0.981519776645398
"IterativeLSI","Dim3",3,0.053036855445612,0.139117434394648,0.113767200458159,"QC_meanTSS",-0.034475760340842,-0.0758547907544755,0.000210832967169634,0.015875607351288,-0.0234893683546604,0.127184556192666,92,66,"sample (LMM)",0.000316249450754451,0.181692223132381
"IterativeLSI","Dim3",3,0.053036855445612,0.139117434394648,0.113767200458159,"QC_meanLog10Frags",0.0914769411092779,0.0551360187536492,1.54624854960214e-05,0.107897401170631,0.072213297217456,0.00243394270749204,92,66,"sample (LMM)",4.1233294656057e-05,0.0040565711791534
"IterativeLSI","Dim3",3,0.053036855445612,0.139117434394648,0.113767200458159,"QC_meanFRIP",0.00245753318731767,-0.0374441654851896,3.92546945004564e-05,0.0203281316728726,-0.0188587430602125,0.0186782285510664,92,66,"sample (LMM)",5.88820417506846e-05,0.0240148652799425
"IterativeLSI","Dim4",4,0.0619048248537088,0.0826620672743006,0.0712954716712174,"Cohort",0.578325093019778,0.557921468488477,1.15770411001263e-11,NA,NA,NA,66,66,"donor",2.89426027503157e-11,NA
"IterativeLSI","Dim4",4,0.0619048248537088,0.0826620672743006,0.0712954716712174,"Control_status",-0.145672363799817,-0.191499258351809,0.359254590499963,0.0177594341008868,-0.0215301885350778,0.715862753982964,92,66,"sample (LMM)",0.587066842766066,0.795403059981071
"IterativeLSI","Dim4",4,0.0619048248537088,0.0826620672743006,0.0712954716712174,"Exposure_group",0.43425804940867,-0.131483901182661,9.71913999028672e-11,0.62696532255274,0.393818649148202,0.0776608889127232,92,66,"sample (LMM)",2.91574199708602e-10,0.110944127018176
"IterativeLSI","Dim4",4,0.0619048248537088,0.0826620672743006,0.0712954716712174,"Age",0.00227414382909849,-0.0176803732943196,0.737086111209898,0.0022091108479634,-0.0185781993427041,0.745845915019161,52,52,"donor",0.737086111209898,0.801848133382651
"IterativeLSI","Dim4",4,0.0619048248537088,0.0826620672743006,0.0712954716712174,"Sex_observed",0.00680744628889031,-0.0130564047853319,0.560904844871124,0.0126835974141397,-0.00788549430639907,0.43615988961892,52,52,"donor",0.975557497325039,0.772145836848879
"IterativeLSI","Dim4",4,0.0619048248537088,0.0826620672743006,0.0712954716712174,"Sex_predicted",0.0227565782826512,0.00748714981831766,0.226642985889371,0.0225121517885156,0.00648776083422897,0.24050722589579,66,66,"donor",0.755476619631235,0.704337313359139
"IterativeLSI","Dim4",4,0.0619048248537088,0.0826620672743006,0.0712954716712174,"Sampling_day",0.168576020387581,0.135319061203084,0.0332911017183312,0.168314177512585,0.135046744613089,0.0330883287845521,50,24,"sample (LMM)",0.166455508591656,0.165441643922761
"IterativeLSI","Dim4",4,0.0619048248537088,0.0826620672743006,0.0712954716712174,"Viral_load",0.388182889400283,0.300780445028895,0.0151764948264988,0.388182889400283,0.300780445028895,0.0151764948264988,12,4,"sample (LMM)",0.0303529896529976,0.0303529896529976
"IterativeLSI","Dim4",4,0.0619048248537088,0.0826620672743006,0.0712954716712174,"Batch_C19",0.0371364122640363,-0.0110067671227618,0.39022182637104,0.0371364122640363,-0.0110067671227618,0.39022182637104,22,22,"donor",0.532353493984526,0.532353493984526
"IterativeLSI","Dim4",4,0.0619048248537088,0.0826620672743006,0.0712954716712174,"Supplier",0.508330345780796,0.492721785329392,1.93960029950125e-10,NA,NA,NA,66,66,"donor",4.84900074875313e-10,NA
"IterativeLSI","Dim4",4,0.0619048248537088,0.0826620672743006,0.0712954716712174,"QC_tss_cutoff",-0.183839844310253,-0.231193438082663,0.000230076695141786,-0.0750686977357116,-0.11807144564514,0.0710012048058316,92,66,"sample (LMM)",0.00034511504271268,0.101430292579759
"IterativeLSI","Dim4",4,0.0619048248537088,0.0826620672743006,0.0712954716712174,"QC_frag_cutoff",-0.0177643363205058,-0.0584749097733259,0.616367484690892,-0.0638166185063137,-0.106369283246566,0.543470460459253,92,66,"sample (LMM)",0.616367484690892,0.594673808461533
"IterativeLSI","Dim4",4,0.0619048248537088,0.0826620672743006,0.0712954716712174,"QC_nCells",-0.0106000472849599,-0.0510240491763583,0.426637272098826,0.0167252793691972,-0.0226057094560348,0.299235165073784,92,66,"sample (LMM)",0.592871579935476,0.427478807248263
"IterativeLSI","Dim4",4,0.0619048248537088,0.0826620672743006,0.0712954716712174,"QC_meanTSS",-0.106283474718695,-0.150534813707443,7.23783886213042e-06,-0.121600964724057,-0.166465003313019,0.0278723436977275,92,66,"sample (LMM)",1.62851374397934e-05,0.055744687395455
"IterativeLSI","Dim4",4,0.0619048248537088,0.0826620672743006,0.0712954716712174,"QC_meanLog10Frags",-0.162214802167722,-0.208703394254431,0.000525559213041618,-0.0802639924608922,-0.123474552159328,0.51955082478932,92,66,"sample (LMM)",0.000840894740866589,0.577278694210355
"IterativeLSI","Dim4",4,0.0619048248537088,0.0826620672743006,0.0712954716712174,"QC_meanFRIP",-0.0231449197132527,-0.0640707165017829,0.000223214285616264,NA,NA,NA,92,66,"sample (LMM)",0.000251116071318297,NA
"IterativeLSI","Dim5",5,0.356677034368081,0.0713311253853288,0.478759546328334,"Cohort",0.926298359739808,0.922732151340121,4.77573032208697e-35,NA,NA,NA,66,66,"donor",4.77573032208697e-34,NA
"IterativeLSI","Dim5",5,0.356677034368081,0.0713311253853288,0.478759546328334,"Control_status",-0.00236028613204753,-0.0424546975773294,0.208221526076498,0.00716213587844415,-0.032551378686418,0.296420369519226,92,66,"sample (LMM)",0.549357249907772,0.443630384158018
"IterativeLSI","Dim5",5,0.356677034368081,0.0713311253853288,0.478759546328334,"Exposure_group",NA,NA,NA,0.285079696351513,-0.161745493428792,0.0254348662713713,92,NA,NA,NA,0.0635871656784284
"IterativeLSI","Dim5",5,0.356677034368081,0.0713311253853288,0.478759546328334,"Age",0.0323758817095521,0.0130233993437432,0.201806655073038,0.0539546478257788,0.0342453696554825,0.104541891654745,52,52,"donor",0.488972593278047,0.323801436336657
"IterativeLSI","Dim5",5,0.356677034368081,0.0713311253853288,0.478759546328334,"Sex_observed",0.0010870885808193,-0.0188911696475644,0.816506296177094,0.114294465061963,0.0958422664174203,0.0163387857877968,52,52,"donor",0.975557497325039,0.0892064946105244
"IterativeLSI","Dim5",5,0.356677034368081,0.0713311253853288,0.478759546328334,"Sex_predicted",5.25026665566953e-07,-0.0156244667697929,0.995392960040304,0.0142054003124589,-0.00195516689553354,0.352168656679569,66,66,"donor",0.995392960040304,0.704337313359139
