"embedding","covariate","unit","total_var_marginal","total_var_adjCohort","max_r2","max_r2_Dim"
"Harmony","Exposure_group","per sample, donor-adjusted",0.279932852952094,0.126825422649497,0.31759763816988,"Dim2"
"Harmony","QC_meanTSS","per sample, donor-adjusted",0.229125017578002,0.149263251668786,0.315468436439001,"Dim2"
"Harmony","QC_meanFRIP","per sample, donor-adjusted",0.204248969033491,0.142143428431174,0.270883066286636,"Dim2"
"Harmony","Cohort","per donor",0.135928717399924,0,0.172292643582832,"Dim2"
"Harmony","QC_nCells","per sample, donor-adjusted",0.123351394883477,0.0837946549736302,0.260642982918138,"Dim9"
"Harmony","QC_meanLog10Frags","per sample, donor-adjusted",0.0341628604508957,0.108142972879826,0.163702477411966,"Dim6"
"Harmony","Age","per donor",0.0332881750208586,0.0214348743580326,0.103525524994655,"Dim1"
"Harmony","Sex_observed","per donor",0.0300624747180826,0.0232271070301392,0.106204138772168,"Dim6"
"Harmony","Sex_predicted","per donor",0.00946826022587611,0.00956230965010912,0.0737716214254647,"Dim3"
"Harmony","Sampling_day","per sample, donor-adjusted",0.00711891112000032,0.00651782440384641,0.0463621291659454,"Dim4"
"Harmony","Control_status","per sample, donor-adjusted",0.0061684726924386,0.01747192753618,0.112737744218971,"Dim10"
"IterativeLSI","Exposure_group","per sample, donor-adjusted",0.581724134785018,0.0727955902342278,0.944906640880041,"Dim5"
"IterativeLSI","Cohort","per donor",0.501605149763586,0,0.926298359739808,"Dim5"
"IterativeLSI","QC_meanTSS","per sample, donor-adjusted",0.407078038103521,0.0855392551765554,0.648197875909825,"Dim5"
"IterativeLSI","QC_meanFRIP","per sample, donor-adjusted",0.39111521869108,0.0801269401549702,0.570644415245755,"Dim5"
"IterativeLSI","QC_meanLog10Frags","per sample, donor-adjusted",0.237536626178038,0.0621393754554226,0.634684147602097,"Dim6"
"IterativeLSI","QC_nCells","per sample, donor-adjusted",0.0706961188615927,0.0484845992751348,0.202499213303859,"Dim9"
"IterativeLSI","Age","per donor",0.0377915063387092,0.0342099035486098,0.127808396309686,"Dim6"
"IterativeLSI","Sex_observed","per donor",0.0114397956055054,0.0567135086991331,0.0303327309912498,"Dim10"
"IterativeLSI","Sex_predicted","per donor",0.00712528709804872,0.0139321752920719,0.101556183909026,"Dim10"
"IterativeLSI","Sampling_day","per sample, donor-adjusted",0.00639994507400346,0.0052185037899739,0.047219211050625,"Dim4"
"IterativeLSI","Control_status","per sample, donor-adjusted",0.00303306465307271,0.00999447134221639,0.00818179220463374,"Dim1"
