"embedding","dim","dim_index","abs_cor_with_log10_nFrags","abs_cor_with_TSSEnrichment","abs_cor_with_FRIP","within_sample_abs_cor_log10_nFrags","within_sample_abs_cor_TSSEnrichment","within_sample_abs_cor_FRIP","excluded_by_default_cutoff"
"IterativeLSI","LSI1",1,0.083,0.529,0.161,0.081,0.521,0.051,FALSE
"IterativeLSI","LSI2",2,0.1,0.406,0.026,0.147,0.505,0.066,FALSE
"IterativeLSI","LSI3",3,0.114,0.044,0.141,0.042,0.038,0.085,FALSE
"IterativeLSI","LSI4",4,0.071,0.021,0.024,0.008,0.106,0.152,FALSE
"IterativeLSI","LSI5",5,0.479,0.563,0.609,0.034,0.129,0.137,FALSE
"IterativeLSI","LSI6",6,0.647,0.203,0.566,0.488,0.106,0.331,FALSE
"IterativeLSI","LSI7",7,0.252,0.107,0.224,0.228,0.212,0.235,FALSE
"IterativeLSI","LSI8",8,0.162,0.16,0.166,0.101,0.115,0.011,FALSE
"IterativeLSI","LSI9",9,0.085,0.268,0.005,0.169,0.218,0.14,FALSE
"IterativeLSI","LSI10",10,0.089,0.157,0.002,0.1,0.241,0.118,FALSE
"IterativeLSI","LSI11",11,0.003,0.255,0.088,0.091,0.228,0.017,FALSE
"IterativeLSI","LSI12",12,0.095,0.211,0.136,0.038,0.173,0.029,FALSE
"IterativeLSI","LSI13",13,0.042,0.087,0.114,0.01,0.106,0.144,FALSE
"IterativeLSI","LSI14",14,0.002,0.271,0.049,0.162,0.156,0.191,FALSE
"IterativeLSI","LSI15",15,0.205,0.345,0.3,0.044,0.207,0.048,FALSE
"IterativeLSI","LSI16",16,0.097,0.239,0.259,0.046,0.187,0.123,FALSE
"IterativeLSI","LSI17",17,0.033,0.304,0.112,0.107,0.217,0.119,FALSE
"IterativeLSI","LSI18",18,0.015,0.33,0.122,0.17,0.209,0.073,FALSE
"IterativeLSI","LSI19",19,0.044,0.236,0.038,0.065,0.229,0.138,FALSE
"IterativeLSI","LSI20",20,0.045,0.25,0.126,0.063,0.177,0.079,FALSE
"IterativeLSI","LSI21",21,0.134,0.292,0.168,0.008,0.244,0.007,FALSE
"IterativeLSI","LSI22",22,0.044,0.295,0.128,0.088,0.257,0.017,FALSE
"IterativeLSI","LSI23",23,0.026,0.171,0.01,0.009,0.135,0.01,FALSE
"IterativeLSI","LSI24",24,0.01,0.196,0.127,0.108,0.117,0,FALSE
"IterativeLSI","LSI25",25,0.011,0.274,0.126,0.129,0.214,0.006,FALSE
"IterativeLSI","LSI26",26,0.007,0.218,0.094,0.095,0.177,0.004,FALSE
"IterativeLSI","LSI27",27,0.041,0.226,0.04,0.145,0.173,0.112,FALSE
"IterativeLSI","LSI28",28,0.026,0.261,0.008,0.017,0.321,0.092,FALSE
"IterativeLSI","LSI29",29,0.004,0.255,0.073,0.078,0.197,0.02,FALSE
"IterativeLSI","LSI30",30,0.054,0.299,0.103,0.028,0.293,0.031,FALSE
"Harmony","LSI1",1,0.035,0.387,0.008,0.075,0.503,0.065,FALSE
"Harmony","LSI2",2,0.096,0.408,0.029,0.146,0.503,0.067,FALSE
"Harmony","LSI3",3,0.086,0.004,0.106,0.043,0.045,0.084,FALSE
"Harmony","LSI4",4,0.03,0.133,0.151,0.016,0.142,0.156,FALSE
"Harmony","LSI5",5,0.088,0.069,0.095,0.052,0.101,0.107,FALSE
"Harmony","LSI6",6,0.478,0.073,0.326,0.498,0.135,0.32,FALSE
"Harmony","LSI7",7,0.208,0.142,0.175,0.223,0.191,0.245,FALSE
"Harmony","LSI8",8,0.118,0.098,0.096,0.103,0.108,0.014,FALSE
"Harmony","LSI9",9,0.202,0.265,0.057,0.227,0.341,0.082,FALSE
"Harmony","LSI10",10,0.081,0.089,0.034,0.069,0.133,0.017,FALSE
"Harmony","LSI11",11,0.065,0.17,0.006,0.087,0.218,0.004,FALSE
"Harmony","LSI12",12,0.032,0.07,0.016,0.013,0.098,0.02,FALSE
"Harmony","LSI13",13,0.046,0.128,0.113,0.02,0.157,0.161,FALSE
"Harmony","LSI14",14,0.125,0.135,0.109,0.159,0.162,0.196,FALSE
"Harmony","LSI15",15,0.062,0.182,0.109,0.042,0.206,0.037,FALSE
"Harmony","LSI16",16,0.028,0.174,0.174,0.044,0.203,0.118,FALSE
"Harmony","LSI17",17,0.071,0.201,0.011,0.112,0.227,0.113,FALSE
"Harmony","LSI18",18,0.156,0.169,0.049,0.165,0.2,0.076,FALSE
"Harmony","LSI19",19,0.082,0.199,0.077,0.068,0.232,0.129,FALSE
"Harmony","LSI20",20,0.032,0.171,0.027,0.062,0.189,0.072,FALSE
"Harmony","LSI21",21,0.053,0.236,0.089,0.008,0.283,0.016,FALSE
"Harmony","LSI22",22,0.038,0.223,0.058,0.103,0.277,0.009,FALSE
"Harmony","LSI23",23,0.037,0.102,0.074,0.006,0.139,0.004,FALSE
"Harmony","LSI24",24,0.061,0.073,0.023,0.096,0.074,0.016,FALSE
"Harmony","LSI25",25,0.1,0.16,0,0.121,0.2,0.02,FALSE
"Harmony","LSI26",26,0.047,0.118,0.011,0.079,0.137,0.02,FALSE
"Harmony","LSI27",27,0.118,0.123,0.059,0.144,0.148,0.114,FALSE
"Harmony","LSI28",28,0.05,0.219,0.015,0.021,0.3,0.09,FALSE
"Harmony","LSI29",29,0.091,0.158,0.034,0.086,0.208,0.018,FALSE
"Harmony","LSI30",30,0.006,0.244,0.04,0.022,0.296,0.027,FALSE
