"ClustersHIV","Subject","n_cells","pct"
"C1","sub1",593,56.1021759697256
"C1","sub2",297,28.0983916745506
"C1","sub3",52,4.91958372753075
"C1","sub4",115,10.879848628193
"C2","sub1",49,12.25
"C2","sub2",137,34.25
"C2","sub3",84,21
"C2","sub4",130,32.5
"C3","sub1",21,1.38339920948617
"C3","sub2",78,5.13833992094862
"C3","sub3",431,28.3926218708827
"C3","sub4",988,65.0856389986825
"C4","sub1",433,49.3166287015945
"C4","sub2",98,11.1617312072893
"C4","sub3",132,15.0341685649203
"C4","sub4",215,24.4874715261959
"C5","sub1",83,4.35010482180294
"C5","sub2",757,39.6750524109015
"C5","sub3",224,11.7400419287212
"C5","sub4",844,44.2348008385744
"C6","sub1",1119,61.1141452758056
"C6","sub2",340,18.5690879300928
"C6","sub3",117,6.38995084653195
"C6","sub4",255,13.9268159475696
