"Cell type","Exposure group","Pseudobulks","Donors","Cells (total)","Cells per pseudobulk (median)","Cells per pseudobulk (min)","Cells per pseudobulk (max)","CpGs called (median)","CpGs called (min)","Mean coverage per CpG (median)","Global mCG (%) (median)","Global mCG (%) (range)"
"B-cell","C19_ctrl",12,12,1102,91.5,86,96,43323710,38867345,3.84,77.51,"71.98-81.90"
"B-cell","C19_mild",12,12,1059,92,53,120,47927968,41587178,3.61,80.56,"71.66-81.77"
"B-cell","C19_sev",13,13,1083,92,16,135,47778938,20659473,3.59,80.23,"74.55-82.73"
"B-cell","HIV_acu",8,8,767,96,95,96,48833331,41041386,3.94,78.18,"76.39-79.63"
"B-cell","HIV_chr",8,8,623,95.5,48,96,45469055,34870337,2.95,77.01,"73.47-80.01"
"B-cell","HIV_ctrl",9,9,864,96,96,96,47014410,39169028,3.26,77.44,"72.63-81.69"
"B-cell","Influenza_ctrl",13,13,1226,95,88,101,47051105,45682448,3.36,80.28,"77.48-83.53"
"B-cell","Influenza_d28",13,13,1213,94,80,102,47046626,44660277,3.32,80.64,"77.70-82.78"
"B-cell","OP_high",19,19,1673,88,70,99,46122240,42575554,3.18,78.5,"75.70-80.27"
"B-cell","OP_low",3,3,277,88,83,106,46947908,46488647,3.3,78.44,"78.16-79.37"
"B-cell","OP_med",5,5,455,92,86,95,46832853,44718522,3.31,78.91,"76.25-79.68"
"Monocyte","C19_ctrl",12,12,996,84.5,70,89,44261923,34891497,3.67,80.75,"79.84-81.54"
"Monocyte","C19_mild",12,12,1036,87.5,54,118,47697817,43507300,3.56,79.38,"72.91-80.14"
"Monocyte","C19_sev",13,13,1125,85,51,129,47583635,37848208,3.55,79.54,"78.77-80.87"
"Monocyte","HIV_acu",8,8,766,96,95,96,47326518,36508984,3.35,81.48,"81.01-81.98"
"Monocyte","HIV_chr",8,8,624,96,48,96,43882823,32659786,2.69,81.3,"77.78-82.17"
"Monocyte","HIV_ctrl",9,9,862,96,95,96,46269085,37062536,3.07,81.02,"80.62-82.24"
"Monocyte","Influenza_ctrl",13,13,1211,93,87,101,47429668,45967455,3.55,80.6,"79.89-81.23"
"Monocyte","Influenza_d28",13,13,1190,92,85,102,46798675,45524521,3.3,80.72,"80.22-81.58"
"Monocyte","OP_high",19,19,1623,86,66,95,44810708,41193569,2.88,81.37,"80.00-82.14"
"Monocyte","OP_low",3,3,265,84,83,98,46051189,45190907,3.1,81.3,"79.50-81.48"
"Monocyte","OP_med",5,5,436,89,76,93,45871168,41992045,2.98,81.49,"80.55-81.77"
"NK-cell","C19_ctrl",12,12,1078,91.5,79,95,45588024,41962287,4.02,79.74,"78.10-81.20"
"NK-cell","C19_mild",12,12,744,54,29,118,42086448,34751961,2.52,78.66,"73.74-80.67"
"NK-cell","C19_sev",13,13,802,61,31,105,43578899,34285582,2.7,78.61,"74.98-80.29"
"NK-cell","HIV_acu",8,8,767,96,95,96,48913214,41661349,3.96,77.37,"71.77-79.62"
"NK-cell","HIV_chr",8,8,624,96,48,96,45135012,36168118,2.85,76.74,"72.62-78.17"
