"embedding","PC","pc_index","var_explained","covariate","r2","p","r2_partial_adjCohort","p_adjCohort","n","p_adj","p_adjCohort_bh"
"IterativeLSI","PC1",1,0.403165620499821,"Cohort",0.725142938954553,1.35079082202003e-24,NA,NA,92,1.35079082202003e-23,NA
"IterativeLSI","PC1",1,0.403165620499821,"Sex",0.0210650039525662,0.378005566120265,0.0136125471434026,0.485438597803524,39,0.484863833042139,0.789514515002632
"IterativeLSI","PC1",1,0.403165620499821,"Age",0.00768683027013826,0.595600820666971,0.0371841242228839,0.246084319534513,39,0.661778689629968,0.492168639069027
"IterativeLSI","PC2",2,0.134190159489372,"Cohort",0.126461888537151,0.00750600065027153,NA,NA,92,0.0125100010837859,NA
"IterativeLSI","PC2",2,0.134190159489372,"Sex",0.0202162945559642,0.387891066433712,0.00200503838948718,0.789514515002632,39,0.484863833042139,0.789514515002632
"IterativeLSI","PC2",2,0.134190159489372,"Age",0.0534772100120191,0.156640513875504,0.00657408757801054,0.628444788324868,39,0.26106752312584,0.785555985406085
"IterativeLSI","PC3",3,0.0813705609466671,"Cohort",0.348578543899676,2.93556491053617e-08,NA,NA,92,7.33891227634043e-08,NA
"IterativeLSI","PC3",3,0.0813705609466671,"Sex",0.0481735628594592,0.179426295677058,0.0213057517142918,0.381885642100925,39,0.426558127995313,0.789514515002632
"IterativeLSI","PC3",3,0.0813705609466671,"Age",0.152794755462354,0.0138759229553543,0.0397740858140459,0.229971261519668,39,0.041500885839065,0.492168639069027
"IterativeLSI","PC4",4,0.0733069241655266,"Cohort",0.421011021345868,1.79468009885202e-10,NA,NA,92,8.97340049426012e-10,NA
"IterativeLSI","PC4",4,0.0733069241655266,"Sex",0.0755276620945949,0.0904161179198361,0.00322053248346616,0.735049944588422,39,0.426558127995313,0.789514515002632
"IterativeLSI","PC4",4,0.0733069241655266,"Age",0.119029253348788,0.0314766050275789,0.0950031005913982,0.0597428170742426,39,0.0629532100551578,0.492168639069027
"IterativeLSI","PC5",5,0.0498511118754323,"Cohort",0.368500718598491,7.68295224376678e-09,NA,NA,92,2.56098408125559e-08,NA
"IterativeLSI","PC5",5,0.0498511118754323,"Sex",0.0415453926638146,0.213279063997656,0.00460621013876567,0.68557702440275,39,0.426558127995313,0.789514515002632
"IterativeLSI","PC5",5,0.0498511118754323,"Age",0.211995342375356,0.00318323608940791,0.00887414293670565,0.573735052322072,39,0.0159161804470395,0.785555985406085
"IterativeLSI","PC6",6,0.0422107516633094,"Cohort",0.0418621331984305,0.285705687128912,NA,NA,92,0.349690449702901,NA
"IterativeLSI","PC6",6,0.0422107516633094,"Sex",0.00459658325640313,0.681735529196363,0.00922397846150093,0.566244400008639,39,0.681735529196363,0.789514515002632
"IterativeLSI","PC6",6,0.0422107516633094,"Age",0.0272451586853536,0.315292985537981,0.0289922108326734,0.3067592264617,39,0.450418550768545,0.511265377436166
"IterativeLSI","PC7",7,0.0303368407522031,"Cohort",0.122298659965873,0.00912144274329779,NA,NA,92,0.0130306324904254,NA
"IterativeLSI","PC7",7,0.0303368407522031,"Sex",0.0419527334031315,0.211000811720753,0.12052979646982,0.0327155628640293,39,0.426558127995313,0.327155628640293
"IterativeLSI","PC7",7,0.0303368407522031,"Age",0.0144123983171978,0.466632643539844,0.00375285044562012,0.714839938517906,39,0.583290804424805,0.794266598353229
"IterativeLSI","PC8",8,0.02496652720818,"Cohort",0.03928795760609,0.314721404732611,NA,NA,92,0.349690449702901,NA
"IterativeLSI","PC8",8,0.02496652720818,"Sex",0.00682485125617333,0.61708464375732,0.00254396327428802,0.763624869609033,39,0.681735529196363,0.789514515002632
"IterativeLSI","PC8",8,0.02496652720818,"Age",0.145438172467334,0.016600354335626,0.0585839866657691,0.143174518407939,39,0.041500885839065,0.492168639069027
"IterativeLSI","PC9",9,0.0206760597648643,"Cohort",0.144725751660004,0.00313990202371939,NA,NA,92,0.00627980404743877,NA
"IterativeLSI","PC9",9,0.0206760597648643,"Sex",0.0550669390959061,0.150445211580169,0.00206771111700454,0.786325481458564,39,0.426558127995313,0.789514515002632
"IterativeLSI","PC9",9,0.0206760597648643,"Age",0.22837462228324,0.00209254554729675,0.0561833620743413,0.151899380571763,39,0.0159161804470395,0.492168639069027
"IterativeLSI","PC10",10,0.019020352263319,"Cohort",0.0193398046490202,0.630665329099158,NA,NA,92,0.630665329099158,NA
"IterativeLSI","PC10",10,0.019020352263319,"Sex",0.0220654258434098,0.366792075435559,0.0152249781002725,0.460488423459121,39,0.484863833042139,0.789514515002632
"IterativeLSI","PC10",10,0.019020352263319,"Age",0.000653360265562818,0.877247540222884,0.00164752688860359,0.808816422459238,39,0.877247540222884,0.808816422459238
"Harmony","PC1",1,0.294134179998936,"Cohort",0.166212884894607,0.00108913225538238,NA,NA,92,0.0108913225538238,NA
"Harmony","PC1",1,0.294134179998936,"Sex",1.18796516623348e-05,0.983385831281371,0.0145145168226769,0.471225120273699,39,0.983385831281371,0.881571618558553
"Harmony","PC1",1,0.294134179998936,"Age",0.0991641851821584,0.050868757075839,0.0344054750029604,0.264879307558992,39,0.254343785379195,0.639324247445068
"Harmony","PC2",2,0.181027324223877,"Cohort",0.0184081328072661,0.649400192678125,NA,NA,92,0.819196741035683,NA
"Harmony","PC2",2,0.181027324223877,"Sex",0.00120021764032441,0.834154510121718,0.00109657863456696,0.843540192699793,39,0.983385831281371,0.937266880777548
"Harmony","PC2",2,0.181027324223877,"Age",0.0523527846328303,0.161190880477437,0.0265197640251031,0.328630970675801,39,0.322381760954874,0.639324247445068
"Harmony","PC3",3,0.0819231745653228,"Cohort",0.00331284443009484,0.961215453153962,NA,NA,92,0.961215453153962,NA
"Harmony","PC3",3,0.0819231745653228,"Sex",0.000940676905816451,0.852955576302133,0.00402134521292446,0.705257294846842,39,0.983385831281371,0.881571618558553
"Harmony","PC3",3,0.0819231745653228,"Age",0.0107264957362033,0.530374592001545,0.0058521236097366,0.648037949286301,39,0.68469069993316,0.810047436607876
"Harmony","PC4",4,0.0657299802337383,"Cohort",0.0890174689853822,0.0411102547875319,NA,NA,92,0.205551273937659,NA
