"embedding","covariate","total_var_marginal","total_var_adjCohort","max_r2","max_r2_PC"
"Harmony","Age",0.0397796667061756,0.0293093732302674,0.101156555578369,"PC2"
"Harmony","Cohort",0.0675707158071057,0,0.166212884894607,"PC1"
"Harmony","Control_status",0.0133658711199501,0.0265306044598298,0.0994263263169714,"PC6"
"Harmony","Exposure_group",0.200306453575295,0.146854085168994,0.360137793689397,"PC1"
"Harmony","QC_meanFRIP",0.0595454800029526,0.0903412141380187,0.118830085201615,"PC2"
"Harmony","QC_meanLog10Frags",0.0337621748471436,0.133438056697502,0.131608719212227,"PC4"
"Harmony","QC_meanTSS",0.0830336759023246,0.0691743201670515,0.254316596340949,"PC1"
"Harmony","QC_nCells",0.0630029024264103,0.0658862132427534,0.155349326219314,"PC1"
"Harmony","Sampling_day",0.00629669672949027,0.00717591304643465,0.045600740521219,"PC5"
"Harmony","Sex_observed",0.0276235938075201,0.022686149303814,0.130582375688503,"PC6"
"Harmony","Sex_predicted",0.0061112161980668,0.00555161141709471,0.0408673441378044,"PC5"
"IterativeLSI","Age",0.0464349911451116,0.0283607911857209,0.168311016613527,"PC5"
"IterativeLSI","Cohort",0.396738148272195,0,0.725142938954553,"PC1"
"IterativeLSI","Control_status",0.0206826543830747,0.0273637898097061,0.120844767554893,"PC5"
"IterativeLSI","Exposure_group",0.478011506892823,0.157140186382787,0.782913362238415,"PC1"
"IterativeLSI","QC_meanFRIP",0.251942657629569,0.0972999863293585,0.562566815076347,"PC1"
"IterativeLSI","QC_meanLog10Frags",0.16157821411635,0.0977781624761567,0.275046812044727,"PC1"
"IterativeLSI","QC_meanTSS",0.305925744243295,0.107891002104981,0.738187938097185,"PC1"
"IterativeLSI","QC_nCells",0.0583377091319059,0.0576589039782344,0.116932035880635,"PC2"
"IterativeLSI","Sampling_day",0.00375611856355067,0.00512942777463699,0.0357082722608456,"PC6"
"IterativeLSI","Sex_observed",0.025900357365736,0.0188677174296187,0.0892259547195606,"PC2"
"IterativeLSI","Sex_predicted",0.0145894882033514,0.00856560264797021,0.134999050474359,"PC3"
