"embedding","covariate","total_var","max_r2","max_r2_PC"
"Harmony","CellType",0.728319582698745,0.984247747134469,"PC1"
"Harmony","Exposure_group",0.0149132136431592,0.101050622183919,"PC4"
"Harmony","QC_nCells",0.0131878090904834,0.0725968788206287,"PC2"
"Harmony","QC_meanLog10Frags",0.00393991463513092,0.0511825040216969,"PC4"
"Harmony","Cohort",0.00306307296930232,0.0202593388834482,"PC4"
"Harmony","QC_meanFRIP",0.00298697148520454,0.0329062458666898,"PC4"
"Harmony","Sex_observed",0.0016225060345731,0.013571860043739,"PC4"
"Harmony","QC_meanTSS",0.00157575791066561,0.0140584691440156,"PC10"
"Harmony","Control_status",0.00100789716378063,0.00640386544173647,"PC8"
"Harmony","Age",0.000941864959579238,0.00518421189647834,"PC4"
"Harmony","Sex_predicted",0.000458294919729437,0.00327139094577056,"PC4"
"Harmony","Sampling_day",0.000272341598984947,0.00265675172490325,"PC10"
"IterativeLSI","CellType",0.590739052424925,0.886982688712974,"PC1"
"IterativeLSI","Exposure_group",0.0961951240366546,0.407020124504302,"PC4"
"IterativeLSI","Cohort",0.087755892607068,0.355425265444395,"PC4"
"IterativeLSI","QC_meanTSS",0.0623087113469875,0.234212592008189,"PC4"
"IterativeLSI","QC_meanFRIP",0.0590073504736417,0.423263843577024,"PC4"
"IterativeLSI","QC_meanLog10Frags",0.0521401943570028,0.437943908376813,"PC4"
"IterativeLSI","QC_nCells",0.0107752701697205,0.0574653866489543,"PC2"
"IterativeLSI","Control_status",0.00779323326953504,0.0372952347071263,"PC10"
"IterativeLSI","Age",0.00536191317962542,0.0504655694157541,"PC4"
"IterativeLSI","Sex_predicted",0.00254168393880456,0.0370474451885766,"PC4"
"IterativeLSI","Sex_observed",0.00115864048570635,0.00821073449331415,"PC8"
"IterativeLSI","Sampling_day",0.000532049456689308,0.00187261000867151,"PC4"
