"Gene","CellType","n_cells","pct_detected","mean_all","mean_detected","mean_scaled"
"CD8A","T_naive",25344,35.945,0.652,1.814,-0.642
"CD8A","T_mem_CD4",38616,37.112,0.463,1.248,-1.029
"CD8A","T_mem_CD8",44124,60.609,1.497,2.47,1.092
"CD8A","T_mait",4322,63.188,1.247,1.973,0.579
"CD8B","T_naive",25344,26.685,0.324,1.216,0.158
"CD8B","T_mem_CD4",38616,20.126,0.162,0.803,-0.997
"CD8B","T_mem_CD8",44124,40.404,0.489,1.21,1.322
"CD8B","T_mait",4322,26.77,0.234,0.874,-0.483
"CD4","T_naive",25344,37.962,0.428,1.128,0.876
"CD4","T_mem_CD4",38616,52.103,0.426,0.817,0.856
"CD4","T_mem_CD8",44124,24.927,0.202,0.809,-0.857
"CD4","T_mait",4322,30.449,0.199,0.654,-0.875
"CTLA4","T_naive",25344,48.816,0.672,1.376,0.709
"CTLA4","T_mem_CD4",38616,64.222,0.676,1.052,0.735
"CTLA4","T_mem_CD8",44124,46.644,0.553,1.185,-0.045
"CTLA4","T_mait",4322,44.354,0.339,0.765,-1.398
"HAVCR2","T_naive",25344,43.403,0.454,1.047,-0.051
"HAVCR2","T_mem_CD4",38616,57.859,0.44,0.76,-0.505
"HAVCR2","T_mem_CD8",44124,51.122,0.502,0.982,1.416
"HAVCR2","T_mait",4322,53.054,0.428,0.807,-0.859
