"motif","zdiff","p","donors_consistent","padj","mlog10padj","robust","group"
"PITX2_504",-1.596,1.187e-283,4,1.032e-280,50,TRUE,"Other"
"NFATC2_716",-1.469,1.076e-250,4,3.117e-248,50,TRUE,"Other"
"NFATC3_713",-1.444,1.614e-257,4,7.011e-255,50,TRUE,"Other"
"RUNX1_733",1.388,4.997e-92,4,8.351e-91,50,TRUE,"Tex"
"TOPORS_814",-1.305,2.388e-238,4,5.188e-236,50,TRUE,"Other"
"RUNX2_732",1.243,1.27e-80,4,1.781e-79,50,TRUE,"Tex"
"ENSG00000250096_734",1.243,1.27e-80,4,1.781e-79,50,TRUE,"Tex"
"RFX6_729",-1.117,4.805e-209,4,6.96e-207,50,TRUE,"Other"
"ARID3A_6",-1.072,4.829e-219,4,8.392e-217,50,TRUE,"Other"
"RELA_722",-1.034,5.654e-80,4,7.799e-79,50,TRUE,"Other"
"NFATC4_715",-0.9819,1.206e-153,4,6.988e-152,50,TRUE,"Other"
"NFKB1_719",-0.9556,2.041e-84,4,3.167e-83,50,TRUE,"Other"
"CBFB_801",0.9535,3.26e-65,4,3.455e-64,50,TRUE,"Tex"
"HOXD8_537",-0.9429,9.824e-124,4,2.846e-122,50,TRUE,"Other"
"SNAI2_161",-0.9363,7.262e-75,4,9.28e-74,50,TRUE,"Other"
"NFYC_800",0.9141,3.766e-65,4,3.943e-64,50,TRUE,"Tex"
"FOXK1_364",0.9106,1.82e-178,4,1.977e-176,50,TRUE,"Tex"
"KIAA0415_381",0.9106,1.82e-178,4,1.977e-176,50,TRUE,"Tex"
"HMGA1_12",-0.9036,2.554e-149,4,1.306e-147,50,TRUE,"Other"
"NR2E1_665",-0.889,1.48e-120,4,4.018e-119,50,TRUE,"Other"
"PBX3_518",0.8643,2.638e-54,4,2.204e-53,50,TRUE,"Tex"
"FOXP3_348",0.8557,3.435e-156,4,2.132e-154,50,TRUE,"Tex"
"FOXD4L3_832",0.8557,3.435e-156,4,2.132e-154,50,TRUE,"Tex"
"FOXD4L5_833",0.8557,3.435e-156,4,2.132e-154,50,TRUE,"Tex"
"FOXD4L6_834",0.8557,3.435e-156,4,2.132e-154,50,TRUE,"Tex"
"FOXD4L4_856",0.8557,3.435e-156,4,2.132e-154,50,TRUE,"Tex"
"FOXD4L2_857",0.8557,3.435e-156,4,2.132e-154,50,TRUE,"Tex"
"ZSCAN4_263",0.8536,6.259e-108,4,1.511e-106,50,TRUE,"Tex"
"REL_721",-0.8401,1e-84,4,1.58e-83,50,TRUE,"Other"
"HIVEP1_170",-0.8297,9.165e-100,4,1.625e-98,50,TRUE,"Other"
"HIVEP3_824",-0.8297,9.165e-100,4,1.625e-98,50,TRUE,"Other"
"FOXP2_356",0.825,1.296e-149,4,7.041e-148,50,TRUE,"Tex"
"NHLH2_80",0.8226,3.845e-102,4,7.108e-101,50,TRUE,"Tex"
"NFYB_807",0.8192,5.108e-45,4,3.468e-44,43.46,TRUE,"Tex"
"NFKB2_714",-0.8034,2.212e-66,4,2.465e-65,50,TRUE,"Other"
"FOXO3_354",0.7919,1.379e-132,4,4.994e-131,50,TRUE,"Tex"
"FOXE3_376",0.7919,1.379e-132,4,4.994e-131,50,TRUE,"Tex"
"FOXD1_382",0.7919,1.379e-132,4,4.994e-131,50,TRUE,"Tex"
"SP4_180",0.7915,4.553e-57,4,4.038e-56,50,TRUE,"Tex"
"FOXK2_360",0.7892,9.064e-134,4,4.376e-132,50,TRUE,"Tex"
"SNAI1_199",-0.7843,6.346e-61,4,6.127e-60,50,TRUE,"Other"
"AC0021266_638",-0.7836,8.561e-110,4,2.188e-108,50,TRUE,"Other"
"MEF2B_643",-0.7836,8.561e-110,4,2.188e-108,50,TRUE,"Other"
"FOXN3_829",0.7813,6.678e-133,4,2.763e-131,50,TRUE,"Tex"
"FOXN2_854",0.7813,6.678e-133,4,2.763e-131,50,TRUE,"Tex"
"FOXL2_855",0.7813,6.678e-133,4,2.763e-131,50,TRUE,"Tex"
"FOXA1_357",0.7744,7.051e-126,4,2.113e-124,50,TRUE,"Tex"
"NFYA_288",0.7654,1.765e-45,4,1.208e-44,43.92,TRUE,"Tex"
"ZNF524_243",-0.7597,1.803e-102,4,3.405e-101,50,TRUE,"Other"
"FOXD4_830",0.7569,3.651e-128,4,1.175e-126,50,TRUE,"Tex"
"FOXD4L1_831",0.7569,3.651e-128,4,1.175e-126,50,TRUE,"Tex"
"FOXJ1_853",0.7569,3.651e-128,4,1.175e-126,50,TRUE,"Tex"
"ZNF384_202",-0.7539,5.197e-121,4,1.457e-119,50,TRUE,"Other"
"IRF1_629",-0.7522,2.075e-106,4,4.508e-105,50,TRUE,"Other"
"IKZF4_197",-0.7498,8.102e-108,4,1.853e-106,50,TRUE,"Other"
"IKZF1_270",-0.7498,8.102e-108,4,1.853e-106,50,TRUE,"Other"
"ZEB1_157",-0.7473,7.306e-41,4,4.319e-40,39.36,TRUE,"Other"
"NFATC1_720",-0.747,3.228e-126,4,1.002e-124,50,TRUE,"Other"
"PLAGL1_190",-0.7427,2.102e-88,4,3.447e-87,50,TRUE,"Other"
"CTCFL_198",-0.7283,4.958e-36,4,2.505e-35,34.6,TRUE,"Other"
"SNAI3_268",0.7283,2.19e-108,4,5.438e-107,50,TRUE,"Tex"
"DDIT3_141",-0.7248,3.452e-103,4,6.665e-102,50,TRUE,"Other"
"KLF2_846",0.7169,6.654e-50,4,5.072e-49,48.29,TRUE,"Tex"
"TGIF2LX_492",0.7037,1.568e-72,4,1.947e-71,50,TRUE,"Tex"
"TGIF2LY_538",0.7037,1.568e-72,4,1.947e-71,50,TRUE,"Tex"
"ASCL1_843",0.702,2.366e-66,4,2.603e-65,50,TRUE,"Tex"
"ID3_38",-0.7005,3.072e-41,4,1.854e-40,39.73,TRUE,"Other"
"ID4_75",-0.7005,3.072e-41,4,1.854e-40,39.73,TRUE,"Other"
"KLF7_189",0.7003,4.275e-63,4,4.32e-62,50,TRUE,"Tex"
"FOXP1_353",0.699,6.369e-106,4,1.258e-104,50,TRUE,"Tex"
"FOXP4_358",0.699,6.369e-106,4,1.258e-104,50,TRUE,"Tex"
"FOXO1_361",0.699,6.369e-106,4,1.258e-104,50,TRUE,"Tex"
"FOXG1_368",0.699,6.369e-106,4,1.258e-104,50,TRUE,"Tex"
"TCF4_97",-0.6982,5.221e-37,3,2.733e-36,35.56,FALSE,"NO"
"STAT2_778",-0.6944,2.631e-82,4,3.875e-81,50,TRUE,"Other"
"FUBP1_809",-0.6882,5.117e-107,4,1.14e-105,50,TRUE,"Other"
"NFAT5_717",-0.6839,9.776e-94,4,1.666e-92,50,TRUE,"Other"
"RELB_718",-0.6777,7.758e-59,4,7.328e-58,50,TRUE,"Other"
"ENSG00000234254_595",0.6749,2.993e-94,4,5.202e-93,50,TRUE,"Tex"
"SP6_275",0.6738,4.768e-40,4,2.744e-39,38.56,TRUE,"Tex"
"SP5_279",0.6738,4.768e-40,4,2.744e-39,38.56,TRUE,"Tex"
"EBF1_67",-0.6693,5.656e-57,4,4.965e-56,50,TRUE,"Other"
"KLF14_251",0.6632,1.003e-37,4,5.413e-37,36.27,TRUE,"Tex"
"KLF11_847",0.6632,1.003e-37,4,5.413e-37,36.27,TRUE,"Tex"
"MEF2A_639",-0.6464,8.22e-81,4,1.191e-79,50,TRUE,"Other"
"CEBPZ_806",0.6452,1.818e-29,4,7.859e-29,28.1,TRUE,"Tex"
"ZIC5_210",-0.643,2.218e-76,4,2.92e-75,50,TRUE,"Other"
"ATOH8_71",-0.6385,1.86e-40,3,1.092e-39,38.96,FALSE,"NO"
"KLF1_179",0.6274,9.647e-54,4,7.984e-53,50,TRUE,"Tex"
"CIC_749",0.6257,3.027e-67,4,3.416e-66,50,TRUE,"Tex"
"PLAG1_264",-0.6254,4.006e-79,4,5.355e-78,50,TRUE,"Other"
"FIGLA_88",-0.6177,1.002e-42,4,6.453e-42,41.19,TRUE,"Other"
"RFX3_723",-0.6175,7.107e-83,4,1.065e-81,50,TRUE,"Other"
"FOXE1_371",-0.6135,5.815e-87,4,9.358e-86,50,TRUE,"Other"
"NKX61_502",-0.6062,1.501e-83,4,2.288e-82,50,TRUE,"Other"
"ZSCAN16_277",0.5925,1.043e-71,4,1.276e-70,50,TRUE,"Tex"
"SMAD1_744",0.5918,1.508e-47,4,1.083e-46,45.97,TRUE,"Tex"
"ONECUT2_293",-0.589,4.311e-71,4,5.062e-70,50,TRUE,"Other"
"MAFB_150",0.5888,2.827e-71,4,3.365e-70,50,TRUE,"Tex"
"ASCL2_89",0.582,2.797e-52,4,2.19e-51,50,TRUE,"Tex"
"ONECUT1_295",-0.5817,9.189e-70,4,1.065e-68,50,TRUE,"Other"
"ZIC3_215",-0.5799,2.604e-52,4,2.057e-51,50,TRUE,"Other"
"KLF5_175",0.5775,2.086e-71,4,2.517e-70,50,TRUE,"Tex"
"KLF4_208",0.5724,1.34e-57,4,1.239e-56,50,TRUE,"Tex"
"MEF2C_640",-0.5714,2.697e-76,4,3.498e-75,50,TRUE,"Other"
"SP3_247",0.5648,9.328e-50,4,7.049e-49,48.15,TRUE,"Tex"
"KLF16_205",0.5633,1.113e-49,4,8.27e-49,48.08,TRUE,"Tex"
"IRF7_635",-0.556,6.997e-66,4,7.6e-65,50,TRUE,"Other"
"EPAS1_36",0.5529,4.447e-53,4,3.578e-52,50,TRUE,"Tex"
"ARX_394",-0.5508,1.315e-64,4,1.361e-63,50,TRUE,"Other"
"YBX2_827",-0.5452,3.005e-57,4,2.72e-56,50,TRUE,"Other"
"CSDA_828",-0.5452,3.005e-57,4,2.72e-56,50,TRUE,"Other"
"ZIC1_213",-0.5407,1.145e-55,4,9.847e-55,50,TRUE,"Other"
"KLF3_184",0.5406,6.143e-41,4,3.657e-40,39.44,TRUE,"Tex"
"RFX4_725",-0.5391,3.383e-64,4,3.459e-63,50,TRUE,"Other"
"MYOG_41",0.535,4.691e-47,4,3.341e-46,45.48,TRUE,"Tex"
"ZBTB3_269",-0.5338,8.141e-44,4,5.319e-43,42.27,TRUE,"Other"
"ZFP161_850",0.531,7.658e-66,4,8.216e-65,50,TRUE,"Tex"
"SP8_226",0.5295,2.277e-33,4,1.064e-32,31.97,TRUE,"Tex"
"SP7_241",0.5295,2.277e-33,4,1.064e-32,31.97,TRUE,"Tex"
"SP9_283",0.5295,2.277e-33,4,1.064e-32,31.97,TRUE,"Tex"
"TWIST1_42",-0.5291,1.285e-32,3,5.815e-32,31.24,FALSE,"NO"
"STAT5A_774",-0.5271,5.021e-68,4,5.741e-67,50,TRUE,"Other"
"MAF_144",0.5248,6.982e-57,4,6.067e-56,50,TRUE,"Tex"
"MAFK_149",0.5171,9.388e-45,4,6.276e-44,43.2,TRUE,"Tex"
"EGR2_196",0.5098,4.704e-60,4,4.492e-59,50,TRUE,"Tex"
"NFIC_740",0.5097,3.348e-61,4,3.269e-60,50,TRUE,"Tex"
"TGIF1_541",0.5087,1.144e-54,4,9.655e-54,50,TRUE,"Tex"
"FOXB2_380",0.5061,1.272e-62,4,1.271e-61,50,TRUE,"Tex"
"RBPJ_291",-0.506,4.31e-57,4,3.862e-56,50,TRUE,"Other"
"CTCF_177",-0.5036,1.986e-08,3,3.818e-08,7.418,FALSE,"NO"
"TEAD4_797",-0.5001,3.972e-53,4,3.226e-52,50,TRUE,"Other"
"STAT5B_779",-0.4983,2.249e-58,4,2.101e-57,50,TRUE,"Other"
"MAFF_147",0.498,1.94e-43,4,1.258e-42,41.9,TRUE,"Tex"
"HMG20B_748",-0.4911,3.815e-51,4,2.934e-50,49.53,TRUE,"Other"
"ELF2_326",0.4909,8.61e-40,4,4.89e-39,38.31,TRUE,"Tex"
"ONECUT3_296",-0.4879,2.606e-53,4,2.137e-52,50,TRUE,"Other"
"GLIS2_201",-0.484,1.193e-51,4,9.254e-51,50,TRUE,"Other"
"BRCA1_319",0.4822,9.022e-53,4,7.193e-52,50,TRUE,"Tex"
"MEIS3_411",0.4799,9.532e-50,4,7.141e-49,48.15,TRUE,"Tex"
"TBR1_786",0.4765,1.047e-24,4,3.84e-24,23.42,TRUE,"Tex"
"MEF2D_642",-0.4733,1.16e-49,4,8.545e-49,48.07,TRUE,"Other"
"AL8445277_699",-0.4706,1.62e-42,4,1.006e-41,41,TRUE,"Other"
"AL6628245_700",-0.4706,1.62e-42,4,1.006e-41,41,TRUE,"Other"
"CR7597334_701",-0.4706,1.62e-42,4,1.006e-41,41,TRUE,"Other"
"CR3545653_702",-0.4706,1.62e-42,4,1.006e-41,41,TRUE,"Other"
