"motif","zdiff","p","donors_consistent","padj","mlog10padj","robust","group"
"zfn121",-2.247,0,4,0,50,TRUE,"Other"
"znf384_2",-1.512,0,4,0,50,TRUE,"Other"
"runx_1",1.02,1.514e-96,4,4.33e-95,50,TRUE,"Tex"
"nr_11",-1.003,1.672e-182,4,1.196e-180,50,TRUE,"Other"
"mef2",-0.9008,1.09e-176,4,6.233e-175,50,TRUE,"Other"
"znf57",0.8519,3.554e-150,4,1.694e-148,50,TRUE,"Tex"
"znf320",-0.7063,6.693e-84,4,1.472e-82,50,TRUE,"Other"
"ets_2",0.6907,1.104e-141,4,4.511e-140,50,TRUE,"Tex"
"hd_20",-0.6701,2.822e-118,4,1.009e-116,50,TRUE,"Other"
"zbtb14",0.6529,4.92e-86,4,1.173e-84,50,TRUE,"Tex"
"pax_2",-0.6496,1.472e-109,4,4.679e-108,50,TRUE,"Other"
"smarca5",-0.5983,1.046e-81,4,2.137e-80,50,TRUE,"Other"
"klf_sp_1",0.5901,7.822e-77,4,1.491e-75,50,TRUE,"Tex"
"hd_12",0.5861,1.679e-86,4,4.366e-85,50,TRUE,"Tex"
"nfat_2",-0.5848,4.871e-76,4,8.706e-75,50,TRUE,"Other"
"ebox_cagctg",0.5757,1.368e-70,4,2.301e-69,50,TRUE,"Tex"
"ebox_cagatgg",0.5671,3.249e-55,4,4.223e-54,50,TRUE,"Tex"
"ebf1",-0.5575,1.765e-51,4,1.942e-50,49.71,TRUE,"Other"
"gc_tract",-0.551,3.197e-267,4,3.047e-265,50,TRUE,"Other"
"ap1_2",0.5393,4.129e-66,4,6.215e-65,50,TRUE,"Tex"
"tbx_1",0.5351,7.741e-53,4,8.855e-52,50,TRUE,"Tex"
"tbx_3",0.5322,3.442e-57,4,4.688e-56,50,TRUE,"Tex"
"nfy",0.5133,2.877e-15,2,9.569e-15,14.02,FALSE,"NO"
"nfat_1",-0.5077,4.901e-55,4,6.095e-54,50,TRUE,"Other"
"prdm9",0.5057,1.177e-48,4,1.202e-47,46.92,TRUE,"Tex"
"smad",0.5031,7.312e-48,4,6.971e-47,46.16,TRUE,"Tex"
"ctcf",-0.498,6.275e-12,3,1.677e-11,10.78,FALSE,"NO"
"znf547",0.4978,7.531e-51,4,7.977e-50,49.1,TRUE,"Tex"
"nfkb_1",-0.4974,2.127e-47,4,1.901e-46,45.72,TRUE,"Other"
"fox_4",0.4955,6.467e-70,4,1.027e-68,50,TRUE,"Tex"
"zscan4",0.4819,2.26e-47,4,1.958e-46,45.71,TRUE,"Tex"
"nrf1",0.4788,1.105e-31,4,6.076e-31,30.22,TRUE,"Tex"
"plag1",-0.476,3.037e-44,4,2.286e-43,42.64,TRUE,"Other"
"prdm5",-0.4749,4.091e-47,4,3.442e-46,45.46,TRUE,"Other"
"spi",0.4716,7.339e-59,4,1.05e-57,50,TRUE,"Tex"
"batf",0.4675,1.916e-46,4,1.522e-45,44.82,TRUE,"Tex"
"myb_5",0.4567,9.936e-54,4,1.184e-52,50,TRUE,"Tex"
