Cluster	Final_CellType	N_cells	Mono_CD14	NK_CD16	Mono_CD16	T_mem_CD8	T_mem_CD4	B_naive	Megakaryocytes	T_naive	T_mait	B_mem	Cycling_T_NK	Plasma	T_mix	ABC	DC	Plasmablasts	Progenitor
C22	B_mem	15182	0	0	0	0	0	0.1234	0	0	0	0.4947	0	0.1978	1e-04	0.049	0	5e-04	0
C20	B_naive	70	0	0	0	0	0	0.0036	0	0	0	0.0014	0	0	0	0.0012	0	0	0
C21	B_naive	13230	0	0	0	0	0	0.7468	0	1e-04	0	0.0327	0	0.0024	0	0	0	0	0
C1	DC	2286	0.0171	2e-04	5e-04	1e-04	1e-04	1e-04	0.0263	2e-04	0	0	2e-04	0	0	0	0.475	0	0
C3	Mono_CD14	41797	0.6182	0	0.0068	0	0	0	0.1398	0	0	0	0	0	0	0	0.0017	0	0
C4	Mono_CD14	5848	0.1061	0	0.023	0	0	0	3e-04	0	0	0	0	0	0	0	7e-04	0	0
C5	Mono_CD14	7077	0.139	0	0	0	0	0	4e-04	0	0	0	0	0	0	0	1e-04	0	0
C2	Mono_CD16	13591	0.0331	0	0.7742	0	0	0	0.0202	0	0	0	0	0	0	0	1e-04	0	0
C15	NK_CD16	16719	0	0.179	0	0.1427	0	0	0	0	9e-04	0	0.0081	0	0	0	0	0	6e-04
C16	NK_CD16	25344	0	0.5882	0	0.0039	2e-04	0	7e-04	3e-04	8e-04	0	4e-04	0	1e-04	0	0	0	2e-04
C19	Plasma	755	0	0	0	0	2e-04	9e-04	0	2e-04	3e-04	0.0094	0.0036	0.1155	0.0032	0	0	0.2029	0
C12	T_mait	4507	0	0.0013	0	0.0078	0.0172	0	4e-04	0.0021	0.4809	0	3e-04	0	0.0033	0	0	0	0
C10	T_mem_CD4	26891	0	0	0	0.0012	0.4382	0	0	0.0998	0.0057	0	0.0195	0	0.0246	0	0	0	0
C11	T_mem_CD4	9015	0	0.0194	0	0.0459	0.0811	0	8e-04	0.0311	0.0499	0	0.0088	0	0.005	0	0	0	0
C9	T_mem_CD4	4926	0	3e-04	0	0.0029	0.1097	0	4e-04	0.0058	0.0053	0	0.0062	0	0.0268	0	0	0	0
C14	T_mem_CD8	5392	0	0.0473	0	0.059	0.0013	0	0.0012	0.0048	0.0029	0	0.0093	0	0.0105	0	0	0	0.0046
C17	T_mem_CD8	9440	0	0.0721	0	0.1181	0.0029	0	0	0	0.0109	0	0.0013	0	3e-04	0	0	0	0
C18	T_mem_CD8	29292	0	0.0197	0	0.4978	0.0115	0	0.0011	0.0021	0.0281	0	0.0456	0	0.0064	0	0	0	3e-04
C13	T_mix	425	0	0.0022	0	0.0035	0.0022	0	0	0.0019	0.0039	0	0	0	0	0	0	0	0
C6	T_mix	7575	0	1e-04	0	8e-04	0.0247	0	0.0011	0.0941	0.0052	0	0.0713	0	0.2147	0	0	0	0
C7	T_naive	12383	0	0	0	0	0.002	0	0	0.3454	0	0	0	0	1e-04	0	0	0	0
C8	T_naive	19554	0	8e-04	0	0.0045	0.1463	0	0.0021	0.2707	9e-04	0	0.0016	0	0.004	0	0	0	0
