"Condition","Residuals","Donor","Motif","Exposure","Cell_Type","n_pseudobulk","n_donor","n_condition","donor_modelled"
0,1,NA,"ahr","C19","B_mem",24,21,4,FALSE
0,1,NA,"aire","C19","B_mem",24,21,4,FALSE
0.205834622372639,0.794165377627361,NA,"ap1_1","C19","B_mem",24,21,4,FALSE
0.314516077752492,0.685483922247508,NA,"ap1_2","C19","B_mem",24,21,4,FALSE
0,1,NA,"ari5a","C19","B_mem",24,21,4,FALSE
0,1,NA,"ari5b","C19","B_mem",24,21,4,FALSE
0,1,NA,"batf","C19","B_mem",24,21,4,FALSE
0.132832739585759,0.867167260414241,NA,"bcl6_1","C19","B_mem",24,21,4,FALSE
0.108614980345527,0.891385019654473,NA,"bcl6_2","C19","B_mem",24,21,4,FALSE
0.236214880272152,0.763785119727848,NA,"ccaat_cebp","C19","B_mem",24,21,4,FALSE
0.0448738367490467,0.955126163250953,NA,"cenbp","C19","B_mem",24,21,4,FALSE
0,1,NA,"cpeb1","C19","B_mem",24,21,4,FALSE
0.182812852884319,0.817187147115681,NA,"creb_atf_1","C19","B_mem",24,21,4,FALSE
0.277808781589795,0.722191218410205,NA,"creb_atf_2","C19","B_mem",24,21,4,FALSE
0,1,NA,"creb_atf_3","C19","B_mem",24,21,4,FALSE
0,1,NA,"creb3_xbp1","C19","B_mem",24,21,4,FALSE
0,1,NA,"ctcf","C19","B_mem",24,21,4,FALSE
0,1,NA,"cux_1","C19","B_mem",24,21,4,FALSE
0.0543207967506038,0.945679203249396,NA,"cux_2","C19","B_mem",24,21,4,FALSE
0,1,NA,"cux_3","C19","B_mem",24,21,4,FALSE
0,1,NA,"cux_4","C19","B_mem",24,21,4,FALSE
0.31067253445734,0.68932746554266,NA,"ddit3cebpa","C19","B_mem",24,21,4,FALSE
0.00270653026808859,0.997293469731911,NA,"dmrt1","C19","B_mem",24,21,4,FALSE
0,1,NA,"dmrt3","C19","B_mem",24,21,4,FALSE
0,1,NA,"e2f_1","C19","B_mem",24,21,4,FALSE
0.198168519400608,0.801831480599392,NA,"e2f_2","C19","B_mem",24,21,4,FALSE
0,1,NA,"e2f_3","C19","B_mem",24,21,4,FALSE
0.0485438706938118,0.951456129306188,NA,"e2f_4","C19","B_mem",24,21,4,FALSE
0.0344975658989419,0.965502434101058,NA,"ebf1","C19","B_mem",24,21,4,FALSE
0.0503178396732539,0.949682160326746,NA,"ebox_cacctg","C19","B_mem",24,21,4,FALSE
0.139292558406692,0.860707441593308,NA,"ebox_cacgtg_1","C19","B_mem",24,21,4,FALSE
0,1,NA,"ebox_cacgtg_2","C19","B_mem",24,21,4,FALSE
0,1,NA,"ebox_cagatgg","C19","B_mem",24,21,4,FALSE
0.0131955246647654,0.986804475335235,NA,"ebox_cagctg","C19","B_mem",24,21,4,FALSE
0,1,NA,"ebox_catatg","C19","B_mem",24,21,4,FALSE
0.087738059210292,0.912261940789708,NA,"egr","C19","B_mem",24,21,4,FALSE
0.156752980071771,0.843247019928229,NA,"ets_1","C19","B_mem",24,21,4,FALSE
0,1,NA,"ets_2","C19","B_mem",24,21,4,FALSE
0,1,NA,"evi1_mecom","C19","B_mem",24,21,4,FALSE
0.0137191506953215,0.986280849304679,NA,"ewsr1_fli1","C19","B_mem",24,21,4,FALSE
0,1,NA,"fezf1","C19","B_mem",24,21,4,FALSE
0.162263774105104,0.837736225894896,NA,"fox_1","C19","B_mem",24,21,4,FALSE
0,1,NA,"fox_2","C19","B_mem",24,21,4,FALSE
0,1,NA,"fox_3","C19","B_mem",24,21,4,FALSE
0,1,NA,"fox_4","C19","B_mem",24,21,4,FALSE
0.220671766623895,0.779328233376105,NA,"fox_5","C19","B_mem",24,21,4,FALSE
0,1,NA,"fox_6","C19","B_mem",24,21,4,FALSE
0,1,NA,"fox_7","C19","B_mem",24,21,4,FALSE
0,1,NA,"fox_8","C19","B_mem",24,21,4,FALSE
0,1,NA,"fox_9","C19","B_mem",24,21,4,FALSE
0.211959781921366,0.788040218078634,NA,"gata","C19","B_mem",24,21,4,FALSE
0.209837182111569,0.79016281788843,NA,"gc_tract","C19","B_mem",24,21,4,FALSE
0.185919632581971,0.814080367418029,NA,"gcm","C19","B_mem",24,21,4,FALSE
0,1,NA,"gfi","C19","B_mem",24,21,4,FALSE
0,1,NA,"gli","C19","B_mem",24,21,4,FALSE
0.203400582579887,0.796599417420113,NA,"glis","C19","B_mem",24,21,4,FALSE
0.302680754783393,0.697319245216607,NA,"gmeb2_1","C19","B_mem",24,21,4,FALSE
0,1,NA,"gmeb2_2","C19","B_mem",24,21,4,FALSE
0,1,NA,"gmeb2_3","C19","B_mem",24,21,4,FALSE
0.422415841805495,0.577584158194505,NA,"grhl","C19","B_mem",24,21,4,FALSE
0.251815592413375,0.748184407586625,NA,"hand1","C19","B_mem",24,21,4,FALSE
0,1,NA,"hd_1","C19","B_mem",24,21,4,FALSE
0,1,NA,"hd_10","C19","B_mem",24,21,4,FALSE
0.352560255502612,0.647439744497388,NA,"hd_11","C19","B_mem",24,21,4,FALSE
0.139009913702364,0.860990086297636,NA,"hd_12","C19","B_mem",24,21,4,FALSE
0,1,NA,"hd_13","C19","B_mem",24,21,4,FALSE
0,1,NA,"hd_14","C19","B_mem",24,21,4,FALSE
0,1,NA,"hd_15","C19","B_mem",24,21,4,FALSE
0.014923573469573,0.985076426530427,NA,"hd_16","C19","B_mem",24,21,4,FALSE
0,1,NA,"hd_17","C19","B_mem",24,21,4,FALSE
0,1,NA,"hd_18","C19","B_mem",24,21,4,FALSE
0,1,NA,"hd_19","C19","B_mem",24,21,4,FALSE
0,1,NA,"hd_2","C19","B_mem",24,21,4,FALSE
2.62066788990952e-16,1,NA,"hd_20","C19","B_mem",24,21,4,FALSE
0,1,NA,"hd_21","C19","B_mem",24,21,4,FALSE
0.223199733211236,0.776800266788763,NA,"hd_22","C19","B_mem",24,21,4,FALSE
0,1,NA,"hd_23","C19","B_mem",24,21,4,FALSE
0.014861311131125,0.985138688868875,NA,"hd_24","C19","B_mem",24,21,4,FALSE
0,1,NA,"hd_25","C19","B_mem",24,21,4,FALSE
0,1,NA,"hd_3","C19","B_mem",24,21,4,FALSE
0,1,NA,"hd_4","C19","B_mem",24,21,4,FALSE
0,1,NA,"hd_5","C19","B_mem",24,21,4,FALSE
0.196007945019909,0.803992054980091,NA,"hd_6","C19","B_mem",24,21,4,FALSE
0.00962461108992292,0.990375388910077,NA,"hd_7","C19","B_mem",24,21,4,FALSE
0,1,NA,"hd_8","C19","B_mem",24,21,4,FALSE
0,1,NA,"hd_9","C19","B_mem",24,21,4,FALSE
0,1,NA,"hen1","C19","B_mem",24,21,4,FALSE
0.368903925089062,0.631096074910938,NA,"hic_1","C19","B_mem",24,21,4,FALSE
0,1,NA,"hic_2","C19","B_mem",24,21,4,FALSE
0,1,NA,"hif","C19","B_mem",24,21,4,FALSE
0.101437514423085,0.898562485576915,NA,"hinfp1_1","C19","B_mem",24,21,4,FALSE
0,1,NA,"hinfp1_2","C19","B_mem",24,21,4,FALSE
0,1,NA,"hinfp1_3","C19","B_mem",24,21,4,FALSE
0,1,NA,"hltf","C19","B_mem",24,21,4,FALSE
0,1,NA,"homez","C19","B_mem",24,21,4,FALSE
0,1,NA,"hsf","C19","B_mem",24,21,4,FALSE
