name	FDR	MeanDiff	CellType
pou_1	3.02875361344147e-146	0.19131858641587	B_mem
ebf1	1.30366526589889e-137	0.176179231794052	B_mem
ebox_cacctg	4.43974148387155e-136	0.121594612615538	B_mem
pax_1	9.54263841590961e-128	0.176581894877538	B_mem
irf_2	2.22569581941027e-103	0.093529806589086	B_mem
pax_2	5.58531534328172e-94	0.0636719034705536	B_mem
ebox_cagctg	1.8193042320581e-86	0.0457470159805883	B_mem
mef2	3.02925509768694e-84	0.0808905163146179	B_mem
zfn121	2.95801493200811e-75	0.0923846207654197	B_mem
ccaat_cebp	1.05004173037879e-65	-0.140447113842359	B_mem
snai2	3.47931035313109e-51	0.0721483176568733	B_mem
ap1_1	1.63413368828714e-47	-0.0996231433331469	B_mem
runx_1	3.07889259630968e-42	-0.0554030698152425	B_mem
ets_2	4.43415219603893e-36	-0.0280676813005094	B_mem
nfkb_2	8.23651837079467e-34	0.121427379419808	B_mem
ebox_cagatgg	8.32737749109266e-33	0.0382403016469422	B_mem
ets_1	2.24266257922736e-31	-0.0302308723774286	B_mem
zbtb7a	3.07581642016664e-29	0.0335421868753477	B_mem
creb_atf_3	1.01312772104493e-28	-0.116889042700208	B_mem
hd_22	1.36386081389934e-27	0.0169435684159008	B_mem
myb_5	1.36386081389934e-27	-0.0279049424766347	B_mem
scrt1	1.68785751535565e-27	0.0699351323978855	B_mem
sox_1	1.78823254088052e-27	-0.0231553599338757	B_mem
spi	2.02094615696826e-26	0.164361530578898	B_mem
stat_2	1.31146299047792e-24	-0.0241541298251933	B_mem
srebf1	1.41860369747785e-24	0.0224803803654606	B_mem
ap1_2	8.22694915295714e-24	-0.0532199811387843	B_mem
hd_12	5.25941975383198e-23	-0.0276429867341378	B_mem
nfkb_1	6.53717650488297e-22	0.0380889678852147	B_mem
osr2	1.72202568406858e-21	0.0202853194099343	B_mem
nfat_1	4.81920599443607e-21	-0.0268306249927913	B_mem
creb3_xbp1	1.1754673664432e-20	-0.0375572008441352	B_mem
znf384_2	3.96358363573028e-20	0.0360000068448259	B_mem
creb_atf_2	1.16984049177608e-19	-0.0427244110114633	B_mem
runx_2	2.92490239147495e-17	-0.0557517330260997	B_mem
sox_7	1.42057356069981e-16	0.294087417005395	B_mem
klf_sp_2	6.11087453984774e-16	-0.00378827988387192	B_mem
zbtb6	7.69873623074723e-16	-0.0184232680211319	B_mem
batf	8.39726140534085e-15	0.0352240245848525	B_mem
sox_2	2.85281154399751e-14	-0.0472558778632025	B_mem
rfx_1	1.18781261515175e-13	-0.0167413603780276	B_mem
nfat_2	1.41327420715188e-13	-0.0397022665739293	B_mem
nfy	1.41675617202193e-13	-0.0381555812141406	B_mem
tcf_lef	1.64604222677098e-13	-0.0409567411447144	B_mem
rbpj	1.77483716586822e-12	-0.0165649753652382	B_mem
fox_1	4.82414778750251e-12	-0.030084358644923	B_mem
cpeb1	8.70522387306372e-12	0.0360514186034863	B_mem
ctcf	1.94288063888967e-11	0.0266245971229331	B_mem
fox_9	3.52260280264201e-11	-0.0456090749842829	B_mem
nr_14	4.19185408502355e-11	-0.0257463967460124	B_mem
yy1	4.19185408502355e-11	-0.0250781345096426	B_mem
e2f_2	7.68529377019945e-11	-0.00876568398886778	B_mem
prdm9	1.05976658922377e-10	0.0272743993635169	B_mem
kaiso	1.49420353761899e-10	-0.0290647652870583	B_mem
gata	2.71230977571959e-10	-0.0193341188994177	B_mem
prdm16	3.43306793846848e-10	0.0221926554853699	B_mem
dmrt1	1.22252392497379e-09	-0.0286617322536752	B_mem
zscan3	2.89973950499929e-09	0.022152699904061	B_mem
aire	3.85474537938258e-09	-0.0434892244217093	B_mem
znf24	5.25896252288414e-09	-0.0279181038395253	B_mem
e2f_4	6.03633352712363e-09	-0.0256196110288464	B_mem
tfap2_2	8.06189771646325e-09	0.0167715371261836	B_mem
hd_11	1.81442265470918e-08	-0.0450300988204398	B_mem
znf257	1.93116705306398e-08	-0.0210357472817863	B_mem
znf382	3.65453908759756e-08	-0.043736134367639	B_mem
nr_19	3.71509572205051e-08	-0.0172283875939073	B_mem
hd_13	5.12322815809631e-08	0.0504673746197626	B_mem
hd_17	7.55419914866643e-08	-0.0253294434707569	B_mem
hen1	1.26784670054352e-07	0.0201461764192591	B_mem
nfat_4	3.55759376983041e-07	-0.0592321439449775	B_mem
nfkb_3	3.55759376983041e-07	0.0269403864859965	B_mem
oct4sox2	3.55759376983041e-07	0.0187165840788792	B_mem
prdm1	4.04632723968783e-07	0.016471790436572	B_mem
creb_atf_1	1.34735561801845e-06	-0.0185133932455468	B_mem
hd_14	1.34735561801845e-06	-0.0223507227175458	B_mem
gfi	2.02680731873483e-06	0.012130138013206	B_mem
zic	2.54031724926614e-06	0.0129222388002541	B_mem
pou_2	3.00864248402655e-06	0.0226538830232954	B_mem
nfac_2	3.30632432879882e-06	-0.015348384998246	B_mem
hd_7	4.03055137165522e-06	-0.0369065991219127	B_mem
p53_like_1	4.25917801055796e-06	0.0148802828679036	B_mem
znf713	4.96138374972655e-06	-0.0746950122490641	B_mem
nr2e3	5.40138806345758e-06	-0.02012690792665	B_mem
znf306	8.25596763625466e-06	-0.0299360870089667	B_mem
hsfy2	8.61746349086999e-06	-0.0361413063510723	B_mem
nr_20	9.20316278995289e-06	-0.0169280519418519	B_mem
znf354	9.49179668481987e-06	-0.0138509641641748	B_mem
nfi_2	1.16021682874943e-05	-0.0134973359013631	B_mem
fox_5	1.22240653671708e-05	-0.00694811526333398	B_mem
zbed1	1.48465867334973e-05	-0.0684148898959169	B_mem
hif	1.49200122885766e-05	-0.0151361307208936	B_mem
lin54	1.71958157419192e-05	0.0271536914795692	B_mem
tbx_1	1.72464976275027e-05	-0.0163042686554404	B_mem
znf28	1.95290978227197e-05	0.022162412716855	B_mem
fox_6	2.18459443761659e-05	0.0255061188299793	B_mem
stat_1	2.18459443761659e-05	-0.0128462104609214	B_mem
znf431	2.33568027655061e-05	-0.03332021778016	B_mem
znf331	2.88617593839247e-05	0.0239410644298989	B_mem
rel_halfsite	2.98957257971174e-05	0.0123757134280641	B_mem
hsf	3.12867968320184e-05	-0.0140209164649275	B_mem
znf274	3.27413139101427e-05	0.0241551731344534	B_mem
sox_6	3.36717350204789e-05	-0.0364740733825882	B_mem
hd_24	3.4033573038241e-05	-0.0245631515113334	B_mem
dmrt3	3.89902146319893e-05	-0.02856328065745	B_mem
mecp2	4.14156651814471e-05	-0.0103191190250652	B_mem
znf143_1	4.28038514403864e-05	-0.0141230491983022	B_mem
