"","TF.name","cvar","mtfr","p_val","cor_score","significant","Call","Call.category","cell_type"
"6","ATF2",1.51801995786337,-2.04858515629519,0,-0.4893045630825,"negative_significant","MethylMinus","MethylMinus","Monocyte"
"7","ATF2",1.51801995786337,-2.04858515629519,0,-0.4893045630825,"negative_significant","MethylMinus","MethylMinus","Monocyte"
"10","ATF4",4.03894445123649,-2.24203505990681,0,-0.473427898769608,"negative_significant","MethylMinus","MethylMinus","Monocyte"
"14","ATOH7",0.772830016697583,-1.9601039282682,0,-0.443875535776052,"negative_significant",NA,"inconclusive","Monocyte"
"15","BACH1",6.79775636414656,-1.86400020441528,0,-0.556280992921141,"negative_significant",NA,"inconclusive","Monocyte"
"16","BACH2",5.10869093006219,-1.73084168566788,0,-0.578706358858775,"negative_significant","MethylMinus","MethylMinus","Monocyte"
"22","BATF",4.3925505445907,-1.18022327941197,0,-0.545718653215613,"negative_significant",NA,"inconclusive","Monocyte"
"23","BATF::JUN",4.64881676472387,-1.19763728340399,0,-0.547058870411135,"negative_significant",NA,"inconclusive","Monocyte"
"24","BATF3",3.84142646348549,-1.21930133542379,0,-0.547622501239318,"negative_significant",NA,"inconclusive","Monocyte"
"27","BCL6B",0.553857704947585,-1.87512971484129,0,-0.394261358292913,"negative_significant","Little effect and MethylMinus","Little effect","Monocyte"
"28","BCL6B",0.553857704947585,-1.87512971484129,0,-0.394261358292913,"negative_significant","MethylMinus","MethylMinus","Monocyte"
"29","BHLHE22",0.546858286208298,-1.85625243370902,0,-0.330380434869238,"negative_significant",NA,"inconclusive","Monocyte"
"38","CEBPA",6.30778480624215,-2.24376333447997,0,-0.379488364753308,"negative_significant",NA,"inconclusive","Monocyte"
"39","CEBPB",5.08006607861212,-2.23890337278318,0,-0.377275284883823,"negative_significant","MethylPlus","MethylPlus","Monocyte"
"40","CEBPD",6.95849172183904,-2.24348270140415,0,-0.332950565942097,"negative_significant","Little effect","Little effect","Monocyte"
"41","CEBPE",5.17788969810061,-2.24008292333002,0,-0.375135528029316,"negative_significant","MethylPlus","MethylPlus","Monocyte"
"42","CEBPG",5.89121122194819,-2.24327050165265,0,-0.395996882177885,"negative_significant","MethylPlus","MethylPlus","Monocyte"
"43","CENPB",-1.05753376024015,-1.77276990022389,4e-04,0.206915316699635,"positive_significant",NA,"inconclusive","Monocyte"
"45","CREB1",0.730638347546087,-2.10951294629064,0,-0.478491649943175,"negative_significant","MethylMinus","MethylMinus","Monocyte"
"46","CREB1",0.730638347546087,-2.10951294629064,0,-0.478491649943175,"negative_significant","MethylMinus","MethylMinus","Monocyte"
"64","CTCF",-2.2972842669829,-1.69804075515172,0,0.412155999496303,"positive_significant",NA,"inconclusive","Monocyte"
"65","CTCFL",-1.20493617965285,-1.98896636222311,0,0.263867534003548,"positive_significant",NA,"inconclusive","Monocyte"
"66","CUX1",-0.522495886686836,1.96179115776832,0,-0.337596694726003,"negative_significant","MethylMinus","MethylMinus","Monocyte"
"68","DBP",1.29424191619545,-2.24889611831628,0,-0.37154907620971,"negative_significant",NA,"inconclusive","Monocyte"
"79","E2F2",-1.63556064289914,0.586622918977555,0,-0.314460414338794,"negative_significant","MethylMinus","MethylMinus","Monocyte"
"80","E2F2",-1.63556064289914,0.586622918977555,0,-0.314460414338794,"negative_significant","Little effect","Little effect","Monocyte"
