"name","Log2FC_atac","FDR_atac","isDiff_1","Log2FC_rna","FDR_rna","isDiff_2"
"AHR",-0.0223701118448826,0.96222481611872,FALSE,-1.3040887494912,5.24570989633816e-56,TRUE
"ALDH2",-0.0135631893856086,0.961437204800032,FALSE,-0.953024701166453,9.11888936890609e-24,TRUE
"AOAH",-0.363185001629283,0.236169468367433,FALSE,-0.596571366063054,4.43735667424441e-05,TRUE
"AP1S2",-0.239897328020843,0.312171923976842,FALSE,-0.860890404901825,4.07361392870663e-22,TRUE
"BASP1",-0.218704856889264,0.921866754114209,FALSE,-1.26050810121465,5.68800869489044e-06,TRUE
"BNIP3L",-0.163847344054294,0.816888611723537,FALSE,-0.968704477887998,3.24926897091547e-15,TRUE
"BTF3",-0.322926102440229,0.982694421393867,FALSE,-0.807718693989267,8.98169853444996e-18,TRUE
"BTG2",-0.203648531208412,0.933795486713795,FALSE,-2.45883808837189,3.56109917429086e-145,TRUE
"C5AR1",-0.079428336130069,0.999793665983732,FALSE,-0.631966334347238,3.98930318557011e-08,TRUE
"CD4",-0.45821822603873,0.573681823952877,FALSE,-1.70146862498027,1.14632983466952e-60,TRUE
"CD74",-0.276556968031338,0.67693689116493,FALSE,-1.34297828112407,5.55444898288272e-214,TRUE
"CD83",-0.243014010997676,0.794725923063328,FALSE,-3.27183957357063,8.27651500337627e-172,TRUE
"CNPY3",-0.161957617276047,0.964442899291274,FALSE,-0.733176945164718,1.38080665065019e-12,TRUE
"CRTAP",-0.15664522858041,0.937257702462152,FALSE,-1.01933933033722,1.94829228799297e-13,TRUE
"CSF3R",-0.260238031254783,0.935841816451091,FALSE,-1.29044255413729,1.35490753886466e-55,TRUE
"CXCR2",-0.192109895910292,0.978694718946975,FALSE,-3.50030443080274,0.000221531033457504,TRUE
"DDX3X",-0.165932815247845,0.702218524701891,FALSE,-1.19030653155571,4.72630436308154e-85,TRUE
"DMXL2",-0.186099034953435,0.403690786959302,FALSE,-0.520109593653159,4.34694705179432e-05,TRUE
"DUSP1",-0.0137564653956835,0.905841689883531,FALSE,-1.32442376865627,1.51340605064592e-130,TRUE
