old,new,note
"Table S14","Table S21",""
"Table S13","Table S20",""
"Table S12B","Table S19",""
"Table S12","Table S18",""
"Table S11B","Table S17",""
"Table S11","Table S16",""
"Table S10","Table S14",""
"Table S9C","Table S13",""
"Table S9B","Table S12",""
"Table S9","Table S11",""
"Table S8","Table S10",""
"Table S7","Table S9",""
"Table S6","Table S8",""
"Table S5","Table S7",""
"Table S4C","Table S15","moved after the COVID-19 differential tables"
"Table S4B","Table S6",""
"Table S4A","Table S5",""
"Table S4","(split: S5, S6, S15)","the parent label; cite the individual model tables instead"
"Table S3","Table S4",""
"Table S2","Table S3",""
"Table S1B","Table S2",""
"Table S1","Table S1","unchanged"
