"peak","n_folds_recovered"
"chr10:100987276-100987776",1
"chr10:100996785-100997285",2
"chr10:101067763-101068263",3
"chr10:101815772-101816272",1
"chr10:101835913-101836413",3
"chr10:102072827-102073327",3
"chr10:102229693-102230193",1
"chr10:102230794-102231294",0
"chr10:102245698-102246198",1
"chr10:102648937-102649437",0
"chr10:102744191-102744691",2
"chr10:103490594-103491094",0
"chr10:103605620-103606120",0
"chr10:103660445-103660945",0
"chr10:103800740-103801240",3
"chr10:104254611-104255111",3
"chr10:104267018-104267518",1
"chr10:1047410-1047910",0
"chr10:110868920-110869420",3
"chr10:112369363-112369863",1
"chr10:112447252-112447752",2
"chr10:11403008-11403508",1
"chr10:11407864-11408364",0
"chr10:114099841-114100341",1
"chr10:11863100-11863600",1
"chr10:119090366-119090866",0
"chr10:119090927-119091427",2
"chr10:119301288-119301788",2
"chr10:119313561-119314061",3
"chr10:119315487-119315987",1
"chr10:119642512-119643012",0
"chr10:12181334-12181834",4
"chr10:121926917-121927417",2
"chr10:12194843-12195343",0
"chr10:123771992-123772492",3
"chr10:124613930-124614430",0
"chr10:124739044-124739544",0
"chr10:128042227-128042727",0
"chr10:128180768-128181268",2
"chr10:13100464-13100964",0
"chr10:132158352-132158852",0
"chr10:132185497-132185997",0
"chr10:133159959-133160459",1
"chr10:133274914-133275414",0
"chr10:14838770-14839270",1
"chr10:14879371-14879871",1
"chr10:15096411-15096911",1
"chr10:15208861-15209361",0
"chr10:17026721-17027221",2
"chr10:17029462-17029962",0
"chr10:17206070-17206570",1
"chr10:17409128-17409628",1
"chr10:17444038-17444538",2
"chr10:21724633-21725133",0
"chr10:22505975-22506475",1
"chr10:22570682-22571182",2
"chr10:24622081-24622581",4
"chr10:24882222-24882722",2
"chr10:26721464-26721964",3
"chr10:28250707-28251207",0
"chr10:30695811-30696311",1
"chr10:30782692-30783192",1
"chr10:30783834-30784334",0
"chr10:31759207-31759707",0
"chr10:33046726-33047226",0
"chr10:33155748-33156248",1
"chr10:33612450-33612950",1
"chr10:35225196-35225696",0
"chr10:3784571-3785071",1
"chr10:3786335-3786835",2
"chr10:3804222-3804722",0
"chr10:3809518-3810018",1
"chr10:3811339-3811839",1
"chr10:43221037-43221537",2
"chr10:43225669-43226169",2
"chr10:43606148-43606648",3
"chr10:46267750-46268250",0
"chr10:46268384-46268884",3
"chr10:47552692-47553192",3
"chr10:47553210-47553710",1
"chr10:50527411-50527911",3
"chr10:5089829-5090329",0
"chr10:51422548-51423048",0
"chr10:5564079-5564579",1
"chr10:5564805-5565305",0
"chr10:56361112-56361612",4
"chr10:56361641-56362141",3
"chr10:5685136-5685636",2
"chr10:61286615-61287115",4
"chr10:61943120-61943620",4
"chr10:62046368-62046868",0
"chr10:62383994-62384494",2
"chr10:62681330-62681830",0
"chr10:62851372-62851872",0
"chr10:6300050-6300550",1
"chr10:63225631-63226131",1
"chr10:63465763-63466263",0
"chr10:68956900-68957400",0
"chr10:69027531-69028031",1
"chr10:69087252-69087752",0
"chr10:69093794-69094294",1
"chr10:69204015-69204515",4
"chr10:6928676-6929176",0
"chr10:70381897-70382397",0
"chr10:71314242-71314742",1
"chr10:71772161-71772661",2
"chr10:72087006-72087506",1
"chr10:72126106-72126606",0
"chr10:72335346-72335846",1
"chr10:72370177-72370677",3
"chr10:73095947-73096447",0
