"Sample","chrY","chrX","xist","chrY_frac","xist_frac","chrY_chrX_ratio"
"Bei_ATAC_OP_5.tsv.gz",2178,2381967,3310,2.47926749552366e-05,3.76784913231557e-05,0.000914370350218958
"ATAC_flu03_4_fragments.tsv.gz",116344,1643338,239,0.00173151488353604,3.55696947986242e-06,0.0707973648756373
"Bei_ATAC_OP_6.tsv.gz",79229,1689353,82,0.00104879316641537,1.08547425369575e-06,0.0468990199206442
"DU19-01S0004526.tsv.gz",67807,1461591,54,0.00102203016335722,8.13922291522849e-07,0.0463925954661735
"Bei_ATAC_OP_24.tsv.gz",78329,1544604,73,0.00114319267213629,1.06541721541126e-06,0.0507113797452292
"Bei_ATAC_OP_20.tsv.gz",2223,1967278,2866,3.17725906907367e-05,4.0962773243208e-05,0.00112998772923806
"ATAC_flu341_2_fragments.tsv.gz",1931,1680334,2381,3.26785550494037e-05,4.02939614565666e-05,0.00114917629471284
"Bei_ATAC_OP_18.tsv.gz",2053,1977279,2976,2.85894309009887e-05,4.14428379743509e-05,0.00103829555667157
"ATAC_flu206_1_fragments.tsv.gz",79802,1456179,72,0.00130748895502629,1.17965971732404e-06,0.0548023285598817
"DU19-01S0004784.tsv.gz",76040,1489069,73,0.00116831054444055,1.12160270573593e-06,0.0510654643941953
"DU19-01S0004754.tsv.gz",65434,1342787,56,0.00109714152496904,9.38960256109458e-07,0.0487299921729954
"Bei_ATAC_OP_8.tsv.gz",4597,1878152,1783,7.78432465954332e-05,3.01924099803475e-05,0.00244761872308525
"Bei_ATAC_OP_21.tsv.gz",67016,1307621,74,0.00116563534596816,1.28711077357114e-06,0.0512503240617885
"Bei_ATAC_OP_2.tsv.gz",2680,1625468,2198,4.69066795111624e-05,3.84704781960951e-05,0.00164875592752364
"Bei_ATAC_OP_13.tsv.gz",2734,1686715,1986,4.91883101228319e-05,3.5730791479131e-05,0.00162090216782325
"Bei_ATAC_OP_22.tsv.gz",67785,1297112,81,0.00118697823673608,1.41838514679682e-06,0.0522584017417154
"Bei_ATAC_OP_16.tsv.gz",2725,1596403,1886,5.0483721121181e-05,3.49402928567146e-05,0.00170696246499161
"Bei_ATAC_OP_14.tsv.gz",64132,1322439,52,0.00109076493624437,8.84422389520166e-07,0.0484952425026788
"ATAC_flu02_2_fragments.tsv.gz",4556,1746303,1354,9.58475682014038e-05,2.84849884426472e-05,0.00260894014383529
"ATAC_flu02_1_fragments.tsv.gz",4982,1769322,1378,0.00010920699827029,3.02061910109313e-05,0.00281576784779707
"ATAC_flu01_4_fragments.tsv.gz",6280,1968816,1367,0.000129654391355009,2.82225402838052e-05,0.0031897343377949
"Bei_ATAC_OP_3.tsv.gz",1746,1463661,2085,3.25566872806188e-05,3.88778310309795e-05,0.00119289917542382
"DU19-01S0004478.tsv.gz",50123,1099935,42,0.0010030601308763,8.40502872868837e-07,0.04556905635333
"DU19-01S0004460.tsv.gz",52465,1063472,54,0.00110318512138127,1.13546167072503e-06,0.0493336919072623
"hiv10_fragments.tsv.gz",63952,1364315,62,0.00105958649749601,1.02724485308907e-06,0.0468748053052264
"Bei_ATAC_OP_7.tsv.gz",1475,1378881,1978,2.95205977018405e-05,3.95876218672817e-05,0.0010697079733494
"Bei_ATAC_OP_15.tsv.gz",1818,1492050,1942,3.5004202525998e-05,3.73917278908075e-05,0.00121845782648035
"Bei_ATAC_OP_19.tsv.gz",54098,1111588,51,0.00109740347376134,1.034559080961e-06,0.048667311989694
"hiv6_fragments.tsv.gz",74687,1546063,72,0.00107823497235723,1.03944351774365e-06,0.0483078632630106
"DU19-01S0004700.tsv.gz",56766,1105927,61,0.00115367006844812,1.23971874317964e-06,0.0513288851795824
"DU19-01S0004826.tsv.gz",52878,974198,40,0.00122173865809113,9.24194302425303e-07,0.0542784936943003
"Bei_ATAC_OP_12.tsv.gz",2176,1412758,1736,4.56985043694365e-05,3.64579979712048e-05,0.00154024963935791
"ATAC_flu03_1_fragments.tsv.gz",71239,1048255,150,0.00165212314835363,3.47869105760951e-06,0.0679596090645883
"ATAC_flu02_3_fragments.tsv.gz",3641,1408657,1092,9.487988925242e-05,2.84561491523325e-05,0.00258473141438973
"Bei_ATAC_OP_4.tsv.gz",3118,1314373,1390,7.20916121154971e-05,3.21383389482171e-05,0.00237223375708418
"ATAC_flu01_2_fragments.tsv.gz",3654,1473800,1074,9.24607377774761e-05,2.71764730084864e-05,0.00247930519744877
"ATAC_flu01_1_fragments.tsv.gz",5815,1742115,999,0.000142815738397523,2.45353263386286e-05,0.00333789675193658
"DU19-01S0004508.tsv.gz",43364,881569,40,0.00109588110544189,1.01086717594492e-06,0.0491895699599237
"ATAC_flu341_4_fragments.tsv.gz",1868,1083000,1515,5.15443748779339e-05,4.18039228801231e-05,0.00172483841181902
"hiv5_fragments.tsv.gz",55851,1234251,37,0.00101341981511453,6.71367265747033e-07,0.0452509254600563
"DU19-01S0004676.tsv.gz",43738,881650,36,0.00112432876187363,9.25415780955935e-07,0.0496092553734475
"DU19-01S0004538.tsv.gz",40596,807436,43,0.00112350473699387,1.19003605504819e-06,0.0502776690660312
"Bei_ATAC_OP_23.tsv.gz",774,968869,1455,2.11936557147584e-05,3.98407869056504e-05,0.000798869609823413
"Bei_ATAC_OP_10.tsv.gz",1388,1020405,1190,3.83500546571168e-05,3.28793696267788e-05,0.00136024421675707
"hiv7_fragments.tsv.gz",48317,1065445,39,0.000989619188219786,7.98790246508923e-07,0.0453491264213545
"hiv4_fragments.tsv.gz",50576,1005844,32,0.00113414716734546,7.17587578200228e-07,0.0502821511089195
"ATAC_HIP043_fragments.tsv.gz",60586,1026443,54,0.00138285948115357,1.23253576704672e-06,0.0590251967230523
"ATAC_flu206_4_fragments.tsv.gz",46776,744991,61,0.00152762221565574,1.99215313739952e-06,0.0627873356859345
"DU19-01S0004814.tsv.gz",39625,673090,74,0.00131082852202753,2.44798260265077e-06,0.0588702848058952
"ATAC_flu02_4_fragments.tsv.gz",2400,903942,847,9.98586625454997e-05,3.52417863233493e-05,0.00265503760197004
"hiv2_fragments.tsv.gz",50211,1117801,83,0.000983361429047754,1.6255202766518e-06,0.0449194445165105
"ATAC_flu341_3_fragments.tsv.gz",1615,875499,1084,5.59225784969479e-05,3.75356502109545e-05,0.00184466230115625
"Bei_ATAC_OP_11.tsv.gz",31254,654299,28,0.00107079990267075,9.59313920611154e-07,0.0477671523263829
"ATAC_flu03_3_fragments.tsv.gz",36042,554878,54,0.00154897255827632,2.32075129423787e-06,0.0649548188971269
"hiv11_fragments.tsv.gz",36953,816852,21,0.00101435819314733,5.76449058428108e-07,0.0452383051030052
"ATAC_HIP02_frozen_fragments.tsv.gz",4254,1224568,815,0.000142104439815045,2.72249925832773e-05,0.00347387813498311
"ATAC_flu341_1_fragments.tsv.gz",763,635575,868,3.36377290644483e-05,3.82667743485467e-05,0.00120048774731542
"ATAC_flu206_3_fragments.tsv.gz",31271,512384,40,0.00148671656239144,1.90171924452872e-06,0.0610303990756932
"ATAC_HIP15_frozen_fragments.tsv.gz",53309,687000,125,0.0018992275403491,4.45334638698226e-06,0.0775967976710335
"ATAC_66D7_fragments.tsv.gz",33139,618603,46,0.00120702731089147,1.67546565379183e-06,0.0535707068992553
"ATAC_flu206_2_fragments.tsv.gz",26394,469089,36,0.00135427567365517,1.84715936393067e-06,0.05626650806137
