"","group","group_name","seqnames","start","end","strand","name","idx","Log2FC","FDR","MeanDiff"
"4750",1,"C1","chr11",114059593,114250676,1,"ZBTB16",1328,2.8266660213002,7.18632670099145e-135,2.43436601600144
"14370",1,"C1","chr2",227813842,227817564,1,"CCL20",1421,4.41348605204621,4.12092780806129e-87,1.61370932193335
"22031",1,"C1","chr7",151410727,151375909,2,"WDR86",1087,2.49525743009418,6.58651420456142e-86,0.79500901099503
"118",1,"C1","chr1",6466195,6461151,2,"TNFRSF25",118,2.4329624366052,3.68490706357202e-85,1.60073642155947
"8418",1,"C1","chr15",90868592,90883458,1,"FURIN",750,2.18408930196425,2.06561423029251e-81,0.919751811233112
"116",1,"C1","chr1",6424788,6461370,1,"ESPN",116,2.16353446414673,2.40167227964528e-80,0.923425756042735
"20902",1,"C1","chr6",166999405,167139696,1,"CCR6",1247,1.68079192318101,1.58096931796891e-78,1.09962965417831
"2849",1,"C1","chr10",69451473,69507669,1,"TSPAN15",397,2.39367487769163,4.45501451980525e-67,0.549208439170253
"22032",1,"C1","chr7",151409161,151413354,1,"WDR86-AS1",1088,2.41237379799969,7.37102183691539e-67,1.16766981248816
"1439",1,"C1","chr1",151831872,151806071,2,"RORC",1439,2.71920618826504,9.88780231306938e-67,1.12810432453878
"20904",1,"C1","chr6",167149480,167196913,1,"TCP10L2",1249,2.12203414272608,1.29787487647556e-66,0.445022090097361
"5202",1,"C1","chr12",12562383,12474210,2,"DUSP16",217,1.23308632555117,6.14490051602644e-66,0.901173077225368
"18642",1,"C1","chr5",35852695,35879603,1,"IL7R",149,2.16053571760735,1.19431616903819e-64,0.862884749589049
"23382",1,"C1","chr9",91950162,91563091,2,"ROR2",405,1.74877623440293,3.08841575089378e-60,0.758350407175241
"18263",1,"C1","chr4",139606699,139495941,2,"SETD7",729,2.32002618520263,5.54445980979493e-60,0.516044490215096
"16447",1,"C1","chr3",45940933,45948353,1,"CXCR6",315,1.61019157632445,3.13674169107137e-57,0.919946722407316
"23131",1,"C1","chr9",33447611,33441154,2,"AQP3",154,2.24019673172431,1.47260461647763e-56,1.07562090709303
"20708",1,"C1","chr6",134318112,134169246,2,"SGK1",1053,1.46072366445183,1.19667954204231e-55,0.562836043788094
"117",1,"C1","chr1",6429896,6429834,2,"MIR4252",117,1.91655094298676,1.24046547533704e-54,0.866882500415737
"11893",1,"C1","chr19",18522127,18442663,2,"ELL",597,0.916613847968031,3.08834546851942e-53,1.05774983272424
"2879",1,"C1","chr10",72089032,72059035,2,"SPOCK2",427,1.55056820912018,1.37498040148082e-52,0.925982045702409
"6756",1,"C1","chr13",109786568,109752698,2,"IRS2",497,2.68301709539136,1.16089667089497e-51,0.575871451323265
"16446",1,"C1","chr3",45995824,45917899,2,"FYCO1",314,1.14418199978461,1.2372300690727e-48,0.84360085730633
"14185",1,"C1","chr2",203706475,203738912,1,"CD28",1236,1.56331328091569,2.29471698406625e-47,0.620594432309693
"13923",1,"C1","chr2",162074542,161992241,2,"DPP4",974,2.06288526732311,4.05732097359747e-47,0.515335168864067
"23327",1,"C1","chr9",81689305,81583683,2,"TLE1",350,2.28619355436249,9.12452518503061e-47,0.537913499989519
"16081",1,"C1","chr22",46738261,46684411,2,"CERK",510,1.36061726521111,9.34745900688068e-45,0.61363872522427
"18311",1,"C1","chr4",148444698,148078762,2,"NR3C2",777,1.27261203871873,1.00904534299658e-44,0.603417146367665
"19106",1,"C1","chr5",132060529,132063204,1,"IL3",613,1.82454122089802,1.3340117989751e-44,1.02080122293739
"10798",1,"C1","chr17",78360453,78373911,1,"LOC101928674",1312,1.20936086051331,2.13750998450791e-44,0.86434817144432
"14240",1,"C1","chr2",213152427,212999691,2,"IKZF2",1291,1.49565591824557,6.93560354989043e-43,0.852410211435891
"20841",1,"C1","chr6",157700387,157945077,1,"SNX9",1186,1.71006828850551,1.81656099179645e-42,0.67115281490687
"17845",1,"C1","chr4",54657918,54740715,1,"KIT",311,3.17929792740916,6.46326666017484e-42,0.370984370702923
"7892",1,"C1","chr15",41513887,41503638,2,"LTK",224,2.41889750682763,5.27619161797769e-41,0.652731673194291
"16448",1,"C1","chr3",46027742,46017024,2,"XCR1",316,1.08815274955141,7.33574825797265e-41,0.527370214181048
"22936",1,"C1","chr8",144266560,144268481,1,"SCX",856,3.22479348950803,3.24359202808827e-40,0.809378787981037
"14606",1,"C1","chr20",3663399,3659292,2,"GFRA4",77,2.87413619986164,1.08422181263203e-39,0.662505725264872
"18226",1,"C1","chr4",123396795,123403760,1,"SPRY1",692,1.85115509024447,1.08422181263203e-39,0.772773808403804
"13992",1,"C1","chr2",172427354,172506282,1,"ITGA6",1043,1.59567809170447,2.37205752198513e-39,0.464157536264651
"13239",1,"C1","chr2",42048020,42058528,1,"PKDCC",290,1.06566797972832,2.91272898012704e-39,0.50863433953292
"11930",1,"C1","chr19",19618916,19561707,2,"PBX4",634,1.04671197738131,3.23850655029818e-39,0.587472653553567
"13922",1,"C1","chr2",161424332,161985282,1,"SLC4A10",973,1.66770527192205,1.24233472391197e-38,0.616193041326411
"14626",1,"C1","chr20",4823645,4780023,2,"RASSF2",97,1.2201558358484,1.24233472391197e-38,0.578527980678992
"8417",1,"C1","chr15",90717327,90816165,1,"BLM",749,1.02108361263501,2.11669408742149e-38,0.407090997647922
"8071",1,"C1","chr15",60479178,60630637,1,"RORA-AS1",403,0.732962534706788,2.28759988645591e-38,0.995785544531232
"22808",1,"C1","chr8",127733967,127686343,2,"CASC11",728,1.09091895272911,8.54167105781849e-38,0.556135406982688
"20501",1,"C1","chr6",90296908,89926529,2,"BACH2",846,1.24856587185783,1.39544770880398e-37,0.884020071841333
"22938",1,"C1","chr8",144262737,144262673,2,"MIR7112",858,2.52672635884055,1.77166175452697e-36,1.01615027846265
"5514",1,"C1","chr12",53232980,53210567,2,"RARG",529,0.943507394784975,3.08997119135938e-36,0.835009044599559
"13096",1,"C1","chr2",25342590,25227855,2,"DNMT3A",147,0.873134746595766,3.33077521882798e-36,0.675969072003379
"14822",1,"C1","chr20",33401561,33358839,2,"CDK5RAP1",293,1.41856952482006,3.72094356760887e-36,0.486037685570774
"22346",1,"C1","chr8",37899467,37858618,2,"RAB11FIP1",266,1.11951606966353,3.84811823894003e-36,0.532855969756118
"1350",1,"C1","chr1",147670496,147629652,2,"ACP6",1350,1.4754773125759,5.40677927547058e-36,0.425889098612998
"17563",1,"C1","chr4",1289851,1340147,1,"MAEA",29,0.942376431535817,5.91457449226384e-36,0.583324071743578
"23328",1,"C1","chr9",81689713,81776900,1,"LOC101927502",351,2.33956509034252,6.59191568478799e-36,0.421864722560236
"14813",1,"C1","chr20",33004433,32983773,2,"SUN5",284,1.95739032808635,1.4930027350052e-35,0.243698497924563
"21020",1,"C1","chr7",6272644,6161776,2,"CYTH3",76,1.45402463854908,2.81015260068947e-35,0.407416845303311
"13865",1,"C1","chr2",148875250,149026759,1,"KIF5C",916,1.47909080747941,3.10864519474226e-35,0.374075489190074
"20728",1,"C1","chr6",137173648,137143820,2,"IL22RA2",1073,1.96524359435367,3.52899670833833e-35,0.295071031677833
"6037",1,"C1","chr12",113136239,113098819,2,"RASAL1",1052,2.25744069887237,1.59408958245114e-34,0.379266077007823
"22809",1,"C1","chr8",127735434,127741434,1,"MYC",729,1.10924646153382,3.99050417735299e-34,1.04659012195892
"10568",1,"C1","chr17",63446378,63432304,2,"CYB561",1082,1.68979351386863,7.29111106241356e-34,0.577716343678176
"6692",1,"C1","chr13",98577940,98445185,2,"STK24",433,1.23436208808882,2.57437810459413e-33,0.940215680153879
"15860",1,"C1","chr22",36166177,36140330,2,"APOL3",289,1.11789028693499,8.56223472459348e-33,0.538179523077404
"334",1,"C1","chr1",21293290,21299774,1,"LOC100506801",334,1.04247327880782,2.0545397806943e-32,0.902820332545773
"20765",1,"C1","chr6",143536845,143844617,1,"PHACTR2",1110,1.17429854284521,5.24649192479902e-32,0.645674088633948
"1699",1,"C1","chr1",160647295,160608100,2,"SLAMF1",1699,1.33229742354419,6.46855546840292e-32,0.633565464129305
"361",1,"C1","chr1",23177808,23084023,2,"LUZP1",361,1.04741791436127,7.5857114984138e-32,0.466634252033836
"22404",1,"C1","chr8",47739086,47736909,2,"CEBPD",324,1.89761396906407,7.18967811087381e-31,0.743281638770779
"18183",1,"C1","chr4",113979727,113900284,2,"ARSJ",649,1.80208445817188,1.06780888405113e-30,0.254718481968807
"18323",1,"C1","chr4",152100754,152104720,1,"LINC02273",789,1.66959977016881,1.64622237456312e-30,0.801104255589531
"22025",1,"C1","chr7",151205496,151190873,2,"IQCA1L",1081,3.10516316067726,2.10957219581825e-30,0.412250621025428
"10799",1,"C1","chr17",78360077,78356778,2,"SOCS3",1313,1.1579856093353,3.66670293263857e-30,0.97067177136137
"22156",1,"C1","chr8",11494001,11564604,1,"BLK",76,1.88181961146041,4.24268670872236e-30,0.534465485002544
"12576",1,"C1","chr19",49929539,49889654,2,"IL4I1",1280,1.09660899301474,4.70454446694299e-30,0.670822506770873
"10797",1,"C1","chr17",78278492,78261349,2,"LINC01993",1311,1.13550480750042,6.5666632183615e-30,0.305146423195088
"13268",1,"C1","chr2",46429190,46484424,1,"LINC02583",319,1.85652541806047,1.14625753760867e-29,0.2974965667626
"8072",1,"C1","chr15",61229319,60488284,2,"RORA",404,0.613652055711347,1.27372143731073e-29,1.03189647640099
"20218",1,"C1","chr6",41335655,41350887,1,"NCR2",563,1.4214587498925,1.34216642940871e-29,0.425614154694338
"11274",1,"C1","chr18",76495521,76498088,1,"C18orf65",362,2.32882978724521,2.28748757997778e-29,0.792866860862964
"3419",1,"C1","chr10",133520406,133561220,1,"CYP2E1",967,1.63801998973788,2.52234638725782e-29,0.256310469886204
"68",1,"C1","chr1",2050470,2185395,1,"PRKCZ",68,0.94734421164219,2.7022079350982e-29,0.479239452535634
"11606",1,"C1","chr19",10013249,10022279,1,"RDH8",310,2.30717432347256,3.50637657282831e-29,0.429631860585536
"13692",1,"C1","chr2",109141588,109141490,2,"MIR4265",743,1.91995629268831,3.95878367076017e-29,0.511820509478228
"22033",1,"C1","chr7",151440813,151428835,2,"CRYGN",1089,2.68360780055266,8.55818264043264e-29,0.361343769025282
"12295",1,"C1","chr19",42443048,42428288,2,"CXCL17",999,1.3193421886455,1.9553361961117e-27,0.34223278375051
"3418",1,"C1","chr10",133424572,133420666,2,"SPRN",966,2.45191051528692,2.34978838632496e-27,0.395079913848425
"20297",1,"C1","chr6",45328157,45664349,1,"RUNX2",642,0.776957825654539,5.74943213136693e-27,0.643423416562954
"5951",1,"C1","chr12",106582907,106762803,1,"RFX4",966,2.02331800274885,8.34100636272869e-27,0.244527783950972
"1120",1,"C1","chr1",100345025,100520277,1,"CDC14A",1120,0.721716651247012,1.23809503021385e-26,0.563549928604715
"119",1,"C1","chr1",6520061,6466092,2,"PLEKHG5",119,1.36143481771714,1.27201980722538e-26,0.390270590787844
"20985",1,"C1","chr7",2512529,2529177,1,"LFNG",41,0.837496045446419,3.95138671758706e-26,0.790858203819731
"22589",1,"C1","chr8",85463852,85481493,1,"CA2",509,2.0955222816352,5.09633980469393e-26,0.315643121815058
"8075",1,"C1","chr15",62066977,62070917,1,"C2CD4A",407,1.16692777464708,6.17430353089742e-26,0.640765189052231
"9156",1,"C1","chr16",66517312,66469796,2,"BEAN1-AS1",671,1.43651374322481,7.90422796640267e-26,0.343765218713789
"4504",1,"C1","chr11",76206532,76186325,2,"WNT11",1082,1.06623637363399,8.91713249830641e-26,0.487560991200497
"8148",1,"C1","chr15",67063763,67195195,1,"SMAD3",480,0.753892863534245,1.59229913423905e-25,0.656104721093468
"16185",1,"C1","chr3",9902612,9916402,1,"IL17RE",53,2.151328794804,1.94583226827802e-25,0.288334686363801
"2362",1,"C1","chr1",240612149,240489573,2,"GREM2",2362,2.0001866340693,1.95690414505085e-25,0.243886916694963
"1198",1,"C1","chr1",110631474,110593580,2,"KCNA2",1198,1.06901954602598,2.16689567421744e-25,0.370408155478992
"22403",1,"C1","chr8",47260575,47736306,1,"SPIDR",323,0.957955462906797,2.43240291427353e-25,0.56423733564966
"10134",1,"C1","chr17",40309192,40357643,1,"RARA",648,0.611171832791044,2.43428130310847e-25,0.828576549573567
"17192",1,"C1","chr3",151085697,151437072,1,"MED12L",1060,0.935518768612524,2.72305580821465e-25,0.493073415824674
"9426",1,"C1","chr16",87869488,87830023,2,"SLC7A5",941,0.846434675814654,2.80885069390818e-25,0.826866908457154
"20842",1,"C1","chr6",157981887,158099176,1,"SYNJ2",1187,1.28615765380689,2.82607169682106e-25,0.467663066254368
"21882",1,"C1","chr7",138799560,138706295,2,"ATP6V0A4",938,1.44162641544667,4.4241707552606e-25,0.265964616344743
"10592",1,"C1","chr17",64130144,64039142,2,"ERN1",1106,0.758484710888956,5.71960122446816e-25,0.493933668394199
"9157",1,"C1","chr16",66552544,66508003,2,"TK2",672,0.900762228876218,6.78959509594732e-25,0.440281834470675
"23383",1,"C1","chr9",91636251,91636361,1,"MIR3910-1",406,1.84122200677935,8.08919033798415e-25,0.357423454896506
"16269",1,"C1","chr3",18438773,18345387,2,"SATB1",137,0.935548842424563,9.66386331578495e-25,0.382006599441807
"4789",1,"C1","chr11",118225094,118193740,2,"JAML",1367,0.999207160136908,1.28135691636562e-24,0.453516696054483
"1441",1,"C1","chr1",151840557,151837819,2,"C2CD4D",1441,1.37549276017259,1.68337241824213e-24,0.772904716619556
"8213",1,"C1","chr15",73925989,73952137,1,"LOXL1",545,1.53308743983122,2.37592516530381e-24,0.379909322874
"927",1,"C1","chr1",67166400,67259979,1,"IL23R",927,1.2737268010557,2.95189916389244e-24,0.401381506352962
"6772",1,"C1","chr13",111114559,111305737,1,"ARHGEF7",513,0.936887401603033,5.62133137021899e-24,0.414015509166579
"18417",1,"C1","chr4",174523154,174490177,2,"HPGD",883,1.5528300380126,5.64785220929715e-24,0.29922177386285
"16327",1,"C1","chr3",33097230,32996608,2,"GLB1",195,1.25179940313345,6.76196213884464e-24,0.386707470271752
"2936",1,"C1","chr10",77926526,77790791,2,"DLG5",484,0.996481603869743,7.06175225462576e-24,0.494166222759866
"3891",1,"C1","chr11",44564427,44620363,1,"CD82",469,0.900948649586894,7.41283065515519e-24,0.47180956154596
"17194",1,"C1","chr3",151278467,151212117,2,"P2RY14",1062,1.36733663023779,7.41283065515519e-24,0.31675834106312
"4829",1,"C1","chr11",119313012,119312950,2,"MIR6756",1407,1.55240083400831,8.88117690645208e-24,0.820641043530566
"14369",1,"C1","chr2",227718012,227685210,2,"SLC19A3",1420,2.001448507793,1.50204086404483e-23,0.106099769608571
"1541",1,"C1","chr1",154956123,154944076,2,"PBXIP1",1541,0.79993287484434,2.67634628537763e-23,0.642461262619971
"5952",1,"C1","chr12",106684700,106680758,2,"LOC100505978",967,2.19807159483961,2.74484885752974e-23,0.20243685502663
"3690",1,"C1","chr11",10304680,10307397,1,"ADM",268,1.10455581454838,2.76745784050631e-23,0.98334821990751
