"","seqnames","idx","start","end","Log2FC","FDR","MeanDiff"
"8601","chr1",8601,157138229,157138729,-1.08865641736419,5.13322829556781e-07,-0.307308696663376
"77629","chr20",773,21303052,21303552,-1.19019583471398,5.13322829556781e-07,-0.293162733633476
"68599","chr2",1743,38602977,38603477,-1.27995334640131,7.19828949256756e-07,-0.361985417410548
"87664","chr3",2642,51499142,51499642,-1.65416279862459,1.29044871347073e-06,-0.251576536923474
"31851","chr12",5965,121627207,121627707,-1.306540124386,1.70230417819853e-06,-0.365269235098733
"54085","chr17",4321,49715579,49716079,-1.17338419777799,1.93460771110981e-06,-0.319012137582022
"56526","chr17",6762,80414880,80415380,-1.10818665046985,2.50380904088956e-06,-0.26063707020567
"77157","chr20",301,3768233,3768733,-1.15581976801401,2.81406466027421e-06,-0.246209654845085
"65290","chr19",5869,46786290,46786790,-1.16880043769539,3.90375504165251e-06,-0.262065121396118
"84084","chr22",2185,41205003,41205503,-1.05588982077569,5.29184875523932e-06,-0.343892651543546
"120224","chr8",2966,100908406,100908906,-1.47623455308547,6.23464174897843e-06,-0.171765758624946
"86103","chr3",1081,28241269,28241769,-1.42621245441278,6.65372914284089e-06,-0.230658857084532
"52825","chr17",3061,40100565,40101065,-1.10967623386992,8.26940131774771e-06,-0.246638959883709
"36899","chr14",1494,55191458,55191958,-1.043797229242,9.69242157471467e-06,-0.32581598115831
"60817","chr19",1396,6530728,6531228,-1.25437465961795,9.69746225533056e-06,-0.255606291630031
"4052","chr1",4052,43389643,43390143,-1.42686949396427,9.82945050753429e-06,-0.273127358659243
"21705","chr11",2626,61827753,61828253,-1.43429699588221,1.0552962162457e-05,-0.189149600060167
"117807","chr8",549,22244874,22245374,-1.01182477785724,1.07986775487673e-05,-0.299496309665665
"85461","chr3",439,12994880,12995380,-1.36890548444674,1.12555564058746e-05,-0.286756739329639
"184","chr1",184,1471472,1471972,-1.37076671531218,1.15409443394185e-05,-0.296204315909398
"24911","chr11",5832,118572082,118572582,-1.29338189459509,1.39493218708428e-05,-0.310891074762501
"4273","chr1",4273,46132790,46133290,-1.10175246501522,1.49102866693658e-05,-0.286715215482724
"53330","chr17",3566,43778776,43779276,-1.09693531728857,1.55444278438191e-05,-0.187557065468142
"21697","chr11",2618,61792368,61792868,-1.02670291194368,1.64794700309077e-05,-0.235149669499894
"55580","chr17",5816,75109693,75110193,-1.62547421300149,1.64794700309077e-05,-0.204746407911423
"35891","chr14",486,23551572,23552072,-1.59886814203593,1.99348356249813e-05,-0.184184991795391
"105252","chr6",2260,32153808,32154308,-1.26001365428181,2.22931076432721e-05,-0.195160544661515
"54731","chr17",4967,62423629,62424129,-1.33261360787261,2.69652131785811e-05,-0.209456355157507
"104005","chr6",1013,18264589,18265089,-1.19091189305145,2.69652131785811e-05,-0.263357464917972
"125435","chr9",3312,122093073,122093573,-1.17830019931954,2.89839335866117e-05,-0.267351981303264
"19630","chr11",551,3057217,3057717,-1.21686760120156,3.31988604879962e-05,-0.245819262642024
"68358","chr2",1502,32277623,32278123,-1.0521065582979,3.7587788715003e-05,-0.218836739661152
"1252","chr1",1252,12179057,12179557,-1.64484862612082,3.79933538568087e-05,-0.236628937853703
"41931","chr15",1592,60591071,60591571,-2.26309883717334,3.79933538568087e-05,-0.11780971343368
"83059","chr22",1160,31676649,31677149,-1.245499121663,3.79933538568087e-05,-0.244991042082844
"99533","chr5",2698,107474781,107475281,1.94930947402497,4.16387652479068e-05,0.382467223001358
"41626","chr15",1287,55282188,55282688,-1.01242460622397,4.32442828046702e-05,-0.144972011806937
"100593","chr5",3758,134648439,134648939,-1.23407257307454,4.33308803104823e-05,-0.285982523375947
"12036","chr1",12036,226679969,226680469,-1.90395477738854,4.7604190882051e-05,-0.192183575302455
"20394","chr11",1315,17389134,17389634,-1.10185716759057,4.7604190882051e-05,-0.19497155273976
"104958","chr6",1966,30913969,30914469,-1.34871836247939,4.7604190882051e-05,-0.238813705554188
"38172","chr14",2767,75126808,75127308,-1.52443703063757,5.35502724918246e-05,-0.262421036910933
"42836","chr15",2497,73052044,73052544,-1.71755975821327,5.54645094423789e-05,-0.265668384134858
"39781","chr14",4376,102088311,102088811,-2.2447160948945,5.55038825107314e-05,-0.191258753822266
"65130","chr19",5709,45642320,45642820,-1.65131767873378,5.55038825107314e-05,-0.243445823048545
"105232","chr6",2240,31971477,31971977,-1.31071585319605,5.79539396678979e-05,-0.172974310844011
"62161","chr19",2740,14495904,14496404,-1.46361616771856,6.96631979253497e-05,-0.192747120675811
"48081","chr16",3649,68237522,68238022,-1.41968488485433,7.12867195659322e-05,-0.24259352197658
"112499","chr7",1603,32905291,32905791,-1.22872539427182,7.12867195659322e-05,-0.161263031810768
"46328","chr16",1896,27367986,27368486,-1.16243032381411,7.1822258329579e-05,-0.257973755309916
"123034","chr9",911,34701203,34701703,-2.05734810837701,7.46644943802674e-05,-0.164282467178985
"7078","chr1",7078,116738728,116739228,-1.77172068719819,7.49557462620288e-05,-0.256754109250286
"62881","chr19",3460,18441709,18442209,-1.24082251718217,7.63960365171534e-05,-0.199300851530384
"46909","chr16",2477,31094724,31095224,-1.28959416127268,8.32927908875591e-05,-0.163245343572291
"20456","chr11",1377,18588581,18589081,-1.42197375144766,8.65242721747189e-05,-0.133840475803971
"8342","chr1",8342,155978344,155978844,-1.34246697097435,9.32185633971587e-05,-0.148360683444644
"20043","chr11",964,10750971,10751471,-1.17438457764031,9.41303928029412e-05,-0.272233354250865
"126920","chr9",4797,136410349,136410849,-1.27474385804292,9.47326710847161e-05,-0.261011947151806
"43100","chr15",2761,75647527,75648027,-2.14843120691505,9.63950382388897e-05,-0.119503804110994
"70578","chr2",3722,85862362,85862862,-1.54545709680956,9.65637449340222e-05,-0.162742457060207
"23089","chr11",4010,69675152,69675652,-1.12537017841546,9.66282502128124e-05,-0.229970017314331
"38146","chr14",2741,74881616,74882116,-1.13022423951281,0.000104013346274887,-0.196973589632641
"63581","chr19",4160,34773021,34773521,-1.07313849133232,0.000116215297913664,-0.197627547743365
"66026","chr19",6605,50431512,50432012,-1.1315510001291,0.00011795128446824,-0.224288484455801
"55976","chr17",6212,77280995,77281495,-1.33555824695643,0.000126485409077923,-0.156647008095195
"106504","chr6",3512,43635580,43636080,-1.57047713144778,0.00012791245929476,-0.185719060831303
"7817","chr1",7817,151511047,151511547,-1.01320277351632,0.000128910388562245,-0.249671861481803
"38598","chr14",3193,89701490,89701990,-1.2760577803269,0.000134806159649436,-0.215032230694152
"104096","chr6",1104,24645940,24646440,-1.31809310274605,0.000136417137690902,-0.199186107251434
"120769","chr8",3511,123241145,123241645,-1.21197922833466,0.00013643792400998,-0.165326537070844
"22040","chr11",2961,64165958,64166458,-1.44647349594537,0.000137819405798292,-0.162685875970519
"29041","chr12",3155,56079824,56080324,-2.20538975564095,0.000137819405798292,-0.139405272842285
